serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
231,41.34,66.28,66.68,-65.47,-13.67,92.75,88.65,-169.77,-137.71,-102.67
232,41.82,69.73,67.75,-63.86,-12.15,93.86,88.32,-165.70,-136.17,-100.85
233,49.49,68.73,76.41,-54.68,5.08,89.91,62.89,-177.22,-150.05,-107.06
234,53.91,65.28,75.39,-55.00,5.43,78.22,55.65,165.95,-159.66,-115.14
235,36.34,63.00,62.25,-74.86,-18.72,81.02,92.67,174.62,-138.53,-90.42
236,42.45,75.69,71.08,-59.05,-1.09,99.68,102.05,-159.17,-134.18,-96.00
237,50.08,81.54,79.21,-52.28,5.60,106.64,66.80,-139.03,-138.71,-100.58
238,38.37,73.33,68.83,-67.40,-15.58,83.78,92.01,-170.90,-149.17,-115.04
239,29.30,60.32,58.47,-75.78,-26.92,84.04,102.83,169.88,-148.83,-112.00
240,25.36,58.62,49.70,-77.36,-34.55,88.52,131.23,-173.94,-114.08,-92.30
241,13.29,41.83,30.14,-61.26,-47.45,97.27,142.62,-161.79,-29.18,-50.30
242,21.04,60.25,40.49,-68.18,-39.04,116.73,147.24,-155.20,-61.41,-75.98
243,28.54,58.17,43.42,-70.93,-36.01,110.14,127.88,-160.35,-73.85,-85.17
244,32.41,61.08,46.08,-70.33,-32.10,109.65,124.61,-157.17,-83.65,-89.20
245,47.51,64.67,57.64,-72.32,-22.73,110.33,100.70,-168.02,-131.69,-107.39
246,38.06,66.02,53.82,-66.24,-20.45,116.86,127.54,-152.04,-106.68,-93.65
247,47.55,74.05,58.42,-60.52,-8.07,123.92,125.59,-145.27,-125.69,-102.01
248,51.58,71.46,60.28,-63.85,-8.59,119.24,107.18,-155.84,-135.73,-109.93
249,43.28,78.13,66.66,-66.00,-15.16,106.42,81.85,-151.34,-116.75,-95.71
250,42.90,77.77,64.70,-62.50,-11.81,108.17,97.47,-148.64,-114.09,-91.42
251,46.30,71.35,63.37,-67.24,-16.60,96.81,99.67,-164.63,-130.67,-102.11
252,41.61,68.67,60.95,-67.40,-16.43,98.99,109.10,-165.85,-122.91,-99.23
253,48.31,70.35,63.08,-64.83,-11.13,98.46,100.02,-169.76,-136.28,-103.98
254,46.51,68.31,57.75,-65.60,-12.53,98.36,114.20,-167.28,-131.71,-102.06
255,47.00,70.67,61.35,-64.06,-8.79,99.53,109.79,-171.15,-136.55,-101.00
256,41.79,63.82,51.35,-69.48,-17.82,98.72,117.98,-173.21,-135.17,-106.68
257,39.81,63.35,56.44,-71.30,-20.34,95.91,115.28,-175.50,-136.54,-106.94
258,37.31,64.37,55.66,-68.62,-17.35,100.39,123.36,-169.70,-127.75,-102.67
259,38.76,66.62,57.15,-69.68,-18.38,97.61,121.39,-169.31,-130.91,-103.19
260,40.15,67.19,59.20,-67.31,-16.05,99.53,123.34,-167.21,-131.53,-103.49
261,41.47,69.14,59.98,-66.00,-12.67,99.69,123.36,-166.72,-133.73,-103.33
262,41.71,68.50,54.80,-66.36,-13.66,101.03,128.88,-164.77,-128.85,-100.62
263,43.62,68.48,52.78,-66.48,-12.52,100.83,120.36,-170.35,-134.14,-104.41
264,47.13,73.26,65.00,-63.38,-8.77,97.86,96.50,-165.64,-142.77,-109.93
265,40.42,69.94,54.57,-70.50,-22.55,95.38,119.67,-165.57,-133.06,-106.24
266,35.80,61.01,49.67,-74.18,-22.65,96.42,119.50,-175.84,-129.68,-103.27
267,32.04,55.12,42.77,-73.95,-26.03,100.55,130.61,-171.01,-118.33,-104.71
268,37.67,69.19,55.04,-70.47,-21.19,99.71,119.02,-165.43,-122.01,-100.24
269,41.32,72.31,62.24,-61.28,-8.61,107.05,106.50,-161.86,-129.63,-105.01
270,52.77,62.53,69.07,-55.33,12.54,86.85,69.12,161.42,-162.24,-115.18
271,86.26,51.78,75.89,-23.26,50.92,-17.15,-3.59,15.39,-167.75,-117.47
272,24.91,52.88,41.45,-82.08,-38.63,91.06,122.05,-176.15,-114.08,-107.23
273,32.64,53.28,42.66,-78.50,-33.46,82.24,109.92,177.58,-170.91,-128.83
274,39.83,64.90,59.62,-67.16,-13.32,86.58,97.63,-178.85,-153.80,-115.82
275,44.28,69.69,68.20,-61.47,-3.38,87.77,81.50,175.87,-156.74,-112.37
276,44.52,69.39,67.48,-59.95,-4.26,88.57,89.84,172.62,-154.14,-107.65
277,37.01,68.31,58.36,-65.03,-14.55,96.78,116.83,-169.54,-134.04,-98.84
278,38.39,73.68,58.65,-64.19,-13.34,97.62,109.65,-162.13,-128.33,-93.68
279,40.18,72.63,57.77,-67.53,-19.23,98.87,126.49,-158.45,-114.96,-94.66
280,40.79,65.04,52.29,-68.85,-21.86,88.00,90.11,-147.66,-113.73,-108.32
281,36.47,56.03,56.80,-68.73,-18.20,81.65,91.87,-168.46,-120.95,-107.18
282,35.27,57.61,54.95,-70.81,-19.07,81.58,92.68,-174.42,-126.78,-107.21
283,45.79,66.97,63.43,-58.02,0.09,85.60,84.52,-162.75,-131.01,-103.02
284,55.82,59.85,79.29,-45.92,24.49,63.95,51.47,152.67,-156.19,-114.59
285,41.75,56.51,73.67,-53.20,17.48,56.77,56.80,128.00,-167.87,-123.55
286,29.87,72.68,62.53,-65.63,-22.63,90.83,108.66,-146.68,-96.88,-81.50
287,44.26,75.75,62.01,-54.57,-6.49,94.48,132.18,-133.30,-117.75,-90.04
288,54.34,82.48,76.07,-43.58,10.99,65.88,13.49,-108.77,-133.51,-93.45
289,56.07,76.34,82.23,-40.37,20.46,46.68,33.41,-133.85,-146.59,-102.23
290,36.08,59.65,56.38,-68.30,-15.46,70.10,102.11,-173.76,-134.52,-104.19
291,50.04,75.20,65.40,-53.97,1.58,66.04,75.45,-158.15,-136.77,-100.89
292,39.02,66.22,55.46,-62.71,-9.40,71.09,105.34,-166.41,-132.65,-103.22
