serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
478,-35.62,20.84,24.32,19.70,12.71,-8.84,23.36,64.66,52.57,46.10
479,-35.32,14.05,17.16,12.62,4.96,-13.31,20.21,59.13,46.65,42.86
480,-28.08,20.07,23.33,18.39,11.10,-5.16,24.41,64.96,53.00,47.12
481,-25.14,22.51,25.16,19.90,13.17,-8.04,25.48,68.13,55.66,48.40
482,-27.45,23.85,28.46,23.19,15.00,-10.97,22.18,64.96,53.20,46.02
483,-25.03,27.07,31.17,24.88,16.29,-13.13,21.91,65.78,53.95,46.20
484,-26.56,21.76,25.61,20.34,12.49,-8.38,23.54,64.99,53.07,46.54
485,-26.14,23.61,27.33,21.96,14.05,-10.75,23.01,65.70,53.84,46.53
486,-26.31,21.86,25.30,20.03,11.39,-9.79,21.70,61.65,50.17,44.86
487,-24.95,26.68,30.32,24.57,16.33,-13.81,22.30,66.82,55.01,46.69
488,-25.41,18.15,20.72,16.23,9.71,-4.16,25.93,65.20,53.27,47.84
489,-26.03,26.90,31.24,24.96,16.77,-14.40,21.07,65.72,54.04,46.19
490,-24.52,26.24,29.78,24.12,16.39,-12.87,23.06,67.06,55.17,47.11
491,-26.01,19.58,22.95,18.29,11.23,-5.92,24.59,64.87,53.10,47.22
492,-24.95,28.98,33.07,26.57,17.78,-16.68,20.87,66.74,54.83,46.11
493,-24.26,25.65,29.16,23.41,15.75,-12.12,23.71,67.45,55.20,47.28
494,-24.56,21.87,24.57,19.47,12.64,-7.47,25.75,67.25,55.38,48.71
495,-24.62,26.22,29.46,23.50,15.80,-13.56,22.82,66.88,54.89,47.05
496,-24.19,28.46,32.23,26.05,17.60,-15.32,22.29,67.93,55.77,47.13
497,-24.92,20.10,22.75,18.04,10.94,-6.62,25.42,65.91,54.11,47.81
498,-26.32,23.86,27.55,21.88,13.76,-11.48,22.20,65.18,53.45,46.26
499,-27.67,25.93,31.13,25.04,16.13,-14.31,19.58,63.93,52.92,45.54
500,-24.81,26.70,30.31,24.46,16.28,-14.16,22.38,66.73,54.95,46.90
501,-25.67,26.17,30.22,24.34,16.14,-14.01,21.44,65.40,53.86,46.13
502,-27.42,24.94,29.80,24.00,15.49,-13.45,20.06,63.74,52.53,45.44
503,-25.94,25.84,29.79,23.94,15.55,-13.74,21.37,65.39,53.88,46.24
504,-25.58,25.38,29.24,23.58,15.32,-13.31,21.91,65.51,53.98,46.29
505,-26.64,23.02,27.16,21.81,13.71,-10.90,21.68,64.09,52.74,45.86
506,-26.03,25.43,29.36,23.70,15.29,-13.03,21.72,65.33,53.97,46.48
507,-25.99,26.01,30.16,24.42,15.84,-13.88,21.14,64.99,53.55,46.11
508,-26.93,24.27,28.98,23.33,14.66,-12.60,20.96,63.95,52.37,45.60
509,-27.29,24.86,29.48,23.67,15.05,-13.13,20.06,63.69,52.43,45.31
510,-28.42,24.44,29.88,24.25,15.39,-13.48,19.02,62.25,51.29,44.58
511,-29.56,26.58,33.07,26.90,17.61,-17.14,16.01,60.60,50.12,43.36
512,-28.06,25.77,31.48,25.64,16.95,-15.48,18.17,61.87,51.14,44.09
513,-26.10,25.35,29.81,24.13,16.09,-13.10,21.62,65.33,53.66,46.11
514,-26.85,24.80,29.39,23.78,15.80,-13.14,20.72,64.22,52.82,45.71
515,-28.26,25.69,31.17,25.39,16.58,-15.03,18.43,62.41,51.41,44.29
516,-27.74,26.53,31.84,25.83,16.92,-15.67,18.53,63.23,51.93,44.34
517,-25.41,26.41,30.57,24.79,16.70,-13.82,21.65,65.72,54.19,46.36
518,-28.84,26.65,32.63,26.47,17.36,-16.93,16.82,61.37,50.51,43.18
519,-27.39,25.11,30.15,24.52,16.11,-13.94,19.78,63.50,52.22,45.06
520,-26.23,25.52,29.93,24.07,16.07,-13.56,21.26,65.00,53.38,45.88
521,-26.11,24.56,28.39,22.83,15.00,-12.52,21.81,64.82,53.33,46.39
522,-27.97,24.55,29.46,23.56,14.85,-13.40,19.70,63.03,51.86,45.07
523,-26.08,25.20,29.38,23.69,15.36,-13.06,21.40,64.68,53.17,46.07
524,-30.60,22.15,28.35,22.76,14.19,-12.08,17.25,58.82,47.89,42.40
525,-29.73,23.21,28.79,23.29,14.44,-12.46,18.20,60.39,49.68,43.81
526,-28.74,23.37,28.52,22.94,14.32,-12.17,19.13,61.52,50.67,44.42
527,-28.00,24.70,29.84,23.83,14.84,-14.00,19.03,62.18,50.84,44.23
528,-28.68,24.76,30.30,24.27,15.39,-13.95,18.17,61.38,50.39,43.64
529,-28.46,26.00,31.61,25.53,16.24,-15.84,17.39,60.97,49.87,43.15
530,-28.85,24.05,29.78,23.99,15.33,-13.49,17.75,60.26,49.25,43.46
531,-30.59,26.21,33.38,27.07,17.11,-16.98,14.37,58.11,47.90,41.60
532,-32.05,28.11,36.55,29.87,18.87,-20.59,11.21,55.79,46.20,39.88
533,-32.84,24.32,32.28,26.38,16.56,-16.03,12.53,55.08,45.25,40.35
534,-32.65,24.26,31.32,25.82,16.08,-15.91,13.26,55.08,44.47,40.10
535,-42.23,28.27,42.62,35.33,21.26,-29.41,-2.39,40.77,34.43,31.53
536,-41.14,28.95,44.39,36.74,22.73,-32.09,-2.73,40.51,33.83,30.72
537,-41.85,19.99,30.92,24.93,13.84,-17.01,6.03,45.53,36.43,33.69
538,-38.45,10.66,18.41,15.01,6.89,-0.96,15.22,50.87,40.94,39.07
539,-25.06,5.56,6.32,3.70,-1.22,10.67,30.76,64.39,51.15,47.89
540,-24.42,16.50,17.35,12.61,6.86,-1.20,28.74,67.85,53.82,47.60
541,-19.59,26.98,26.61,20.54,13.32,-11.76,29.49,72.91,58.91,50.57
542,-24.07,21.86,24.01,18.75,11.48,-7.67,26.40,67.15,54.53,48.09
543,-29.59,19.71,24.21,19.41,11.66,-8.03,22.11,62.52,50.26,44.51
544,-28.74,30.72,36.92,29.91,19.57,-21.77,15.82,62.99,50.97,42.56
545,-29.35,22.43,27.50,22.02,13.30,-10.81,21.22,62.59,50.95,44.75
546,-32.86,21.21,27.74,22.50,13.46,-11.66,17.12,58.52,47.68,41.97
547,-32.44,21.88,28.28,23.42,14.46,-11.96,17.91,59.33,48.86,43.02
548,-27.96,26.65,29.74,23.87,16.51,-15.22,26.70,71.99,59.10,49.64
549,-22.74,21.57,20.90,15.79,10.64,-8.50,34.13,75.87,61.74,52.65
550,-19.99,27.46,26.07,20.15,14.62,-13.56,33.58,78.44,64.04,53.31
551,-19.64,24.42,22.82,17.30,12.54,-10.18,34.89,77.63,63.42,53.65
552,-23.82,18.33,18.48,13.84,8.75,-3.85,33.22,73.89,60.16,51.89
553,-23.66,13.65,13.26,9.17,4.27,1.48,35.04,72.42,58.94,52.71
554,-21.38,24.49,23.35,17.81,12.33,-9.88,34.25,77.12,63.44,53.54
555,-21.75,23.63,23.16,18.63,13.68,-9.72,33.62,76.76,62.88,53.29
556,-21.82,26.01,25.61,19.71,14.36,-11.12,34.18,77.67,63.96,54.04
557,-24.00,22.86,23.26,17.76,12.00,-8.81,32.35,74.51,60.91,51.71
558,-24.41,19.43,19.80,14.74,9.19,-5.12,33.24,73.70,60.30,52.30
559,-24.01,22.02,22.27,16.61,11.12,-7.99,32.76,74.49,60.78,52.09
560,-23.20,23.00,22.52,16.92,11.50,-8.87,33.06,74.92,61.11,52.18
561,-22.24,24.42,23.65,17.97,12.43,-9.92,33.88,76.45,62.82,53.39
562,-22.25,23.99,23.23,17.58,12.24,-9.20,34.56,76.62,62.29,52.96
563,-24.87,20.18,20.65,15.49,9.90,-5.35,33.03,73.34,59.80,51.61
564,-24.09,16.90,16.85,12.02,7.08,-1.74,34.67,72.85,59.30,52.45
565,-28.09,24.21,26.74,20.83,14.06,-11.37,27.80,70.55,57.59,48.99
566,-30.71,23.20,27.11,21.02,13.46,-11.87,24.93,67.67,55.23,47.19
567,-31.49,21.43,25.40,19.50,11.73,-9.43,24.01,65.08,52.76,46.15
568,-28.85,28.15,31.73,25.37,18.15,-18.09,25.21,70.41,57.70,48.67
569,-29.01,30.05,34.24,27.77,20.41,-19.93,24.50,71.04,59.08,49.41
570,-27.50,30.19,32.82,26.16,19.23,-19.78,26.23,72.36,59.67,49.89
571,-33.15,27.73,33.88,27.78,19.72,-20.55,19.93,65.35,54.47,46.51
572,-35.46,26.51,33.79,27.72,19.18,-20.30,17.79,62.31,51.84,44.13
573,-28.10,28.52,31.43,25.13,18.21,-18.30,26.21,71.26,58.70,48.93
574,-36.47,24.01,31.03,25.38,17.20,-17.39,18.15,61.19,50.59,43.21
575,-32.50,21.30,25.63,20.64,13.73,-11.01,24.70,66.37,54.90,47.75
576,-32.59,18.82,22.64,18.15,11.69,-8.35,25.62,66.30,54.41,47.40
577,-32.60,21.37,25.78,20.51,13.54,-11.54,25.11,67.23,55.64,48.17
578,-29.20,12.61,13.53,9.54,4.27,-1.13,30.68,67.47,54.28,48.56
579,-30.85,19.48,22.62,16.81,10.74,-10.31,24.29,64.11,54.09,46.68
580,-31.82,20.56,23.28,19.03,12.55,-13.03,26.84,67.72,56.15,48.79
581,-33.72,24.81,29.72,24.59,17.48,-19.83,22.20,66.49,56.11,47.39
582,-32.07,25.20,28.99,23.98,17.11,-18.92,24.19,68.51,57.61,48.38
583,-30.58,30.94,34.91,28.47,20.68,-21.86,22.25,69.39,58.64,48.69
584,-24.11,34.91,35.07,28.39,21.89,-21.40,28.60,76.64,64.16,51.99
585,-30.28,27.09,30.28,24.21,18.13,-17.53,25.43,70.81,59.09,48.85
586,-29.89,20.26,22.16,17.09,11.17,-7.82,29.53,69.99,57.74,50.18
587,-29.45,17.06,18.06,13.27,7.54,-4.12,30.25,68.80,56.29,49.68
588,-31.53,20.74,23.16,18.09,11.44,-10.51,26.29,67.09,55.25,47.94
589,-30.43,24.71,27.58,22.31,15.64,-14.14,26.07,68.96,57.62,49.40
590,-32.06,24.09,27.54,22.25,15.13,-13.90,24.98,67.82,56.48,48.26
591,-29.83,26.64,28.96,23.07,15.77,-16.76,26.01,69.54,57.85,49.20
592,-29.35,24.19,26.01,20.00,13.06,-13.05,28.24,71.08,59.42,51.05
593,-29.59,24.69,26.32,20.10,11.95,-14.06,27.52,71.08,59.02,50.78
594,-31.84,23.96,27.06,21.34,13.05,-14.60,24.77,68.44,57.54,50.50
595,-28.13,26.19,21.20,14.76,11.96,-5.21,42.81,85.51,70.84,59.56
596,-32.61,26.66,24.38,17.73,15.49,-6.97,38.08,84.08,70.89,58.85
597,-30.78,26.79,22.67,15.80,14.06,-4.58,42.42,87.82,74.40,62.51
598,-22.23,18.54,12.68,7.22,6.47,1.64,48.46,86.69,71.94,63.01
599,-23.60,26.05,20.50,13.95,12.44,-7.90,44.90,87.41,73.08,61.97
600,-28.63,24.23,21.18,15.20,11.54,-7.48,38.82,81.40,67.37,56.96
601,-34.85,13.32,13.24,9.35,4.62,3.86,34.57,70.91,58.68,52.90
602,-36.13,18.87,19.37,14.46,9.60,-4.38,31.46,71.07,58.44,50.56
603,-36.25,16.70,17.29,12.89,7.53,-1.45,31.65,70.29,57.87,50.73
604,-36.64,16.55,17.27,12.84,8.16,-1.75,31.14,69.77,57.43,50.34
605,-36.55,16.27,16.81,12.29,7.06,-1.38,31.47,69.74,57.35,50.43
606,-36.05,15.51,15.52,11.10,6.61,-0.40,32.12,70.14,57.33,50.55
607,-38.33,20.82,22.76,17.54,11.34,-8.19,27.94,68.67,57.08,49.23
608,-39.58,19.79,22.38,17.53,11.10,-7.08,27.06,67.11,55.80,48.57
609,-40.06,19.57,22.06,17.21,10.81,-6.85,26.84,66.73,55.45,48.21
610,-39.21,18.89,21.16,16.58,10.40,-5.81,27.57,67.24,55.84,48.89
611,-40.11,19.27,21.80,17.12,10.95,-6.50,26.70,66.43,55.21,48.15
