p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-43.14,-14.74,36.05,30.37,10.69,-71.66,-9.7,13.58,27.89,28.63,ই
-40.53,-13.51,35.56,29.32,10.43,-64.37,-3.93,21.21,33.49,32.13,ই
-40.21,-13.94,35.81,29.75,10.8,-64.55,-4.17,21.1,33.37,32.2,ই
-38.6,-11.33,38.86,32.4,12.97,-66.63,-5.74,20.07,33.11,31.62,ই
-36.6,-5.46,40.68,33.55,13.6,-68.57,-6.89,20.36,33.54,31.72,ই
-35.25,-3.37,43.03,35.64,15.15,-70.33,-7.45,20.08,33.7,31.57,ই
-46.85,-11.84,40.88,32.02,10.45,-84.43,-17.97,3.44,19.1,22.77,ই
-44.98,-9.26,42.71,33.39,11.54,-83.72,-17.34,4.39,20.25,23.48,ই
-42.83,-7.89,44.09,34.67,13.12,-82.71,-15.75,7.47,22.96,25.06,ই
-43.68,-9.64,43.01,33.77,13.05,-83.31,-16.19,6.54,22.74,25.09,ই
-42.91,-9.77,43.43,34.18,13.37,-82.95,-16.01,7.33,23.06,25.4,ই
-43.59,-11.61,43.38,34.04,13.56,-82.18,-15.14,8.25,23.64,25.74,ই
-42.86,-9.77,44.39,34.77,14.24,-82.13,-14.82,8.79,24.31,26.02,ই
-46.77,-12.43,38.96,30.29,10.93,-78.15,-12.26,10.84,24.7,26.71,ই
-47.58,-22.81,24.86,18.66,2.27,-75.53,-10.22,11.66,24.43,27.11,ই
-44.6,-23.77,19.53,14.03,-0.75,-76.77,-9.63,12.21,23.69,27.31,ই
-44.57,-21.7,19.81,14.07,-0.5,-76.16,-9.04,12.76,24.13,27.58,ই
-42.35,-11.88,22.39,15.56,0.4,-75.81,-7.86,14.19,25.43,28.49,ই
-43.96,-13.31,24.36,15.57,-0.31,-63.26,-8.26,12.26,25.29,28.04,ই
-40.97,-18.25,16.42,9.93,-4.16,-54.62,-10.38,9.31,24.15,27.63,ই
-40.03,-17.23,17.67,10.36,-3.97,-52.34,-9.62,10.58,24.91,28.2,ই
-39.09,-13.58,32.84,25.69,8.15,-52.77,-6.36,17.76,31.08,31.3,ই
-35.11,-11.07,37.6,27.51,9.22,-44.85,-8.15,15.09,30.28,30.72,ই
-41.31,-10.81,34.17,26.27,8.19,-57.43,-6.28,17.54,30.38,30.92,ই
-42.85,-10.36,33.95,26.54,8.42,-73.95,-6.07,17.51,30.27,30.96,ই
-27.31,-10.59,32.44,25.33,7.55,-100.91,-6.69,16.46,29.21,30.53,ই
-18.33,-12.25,30.09,23.61,6.4,-105.87,-8.08,14.36,27.64,29.49,ই
-25.77,-10.4,31.38,25.73,7.76,-96.51,-8.02,14.81,27.76,29.12,ই
-41.57,-7.34,34.55,28.02,9.48,-65.09,-7.03,16.85,29.23,29.92,ই
-42.84,-14.59,37.0,32.59,15.01,-63.48,-6.36,19.38,33.98,32.9,ই
-42.69,-14.41,36.64,33.41,17.22,-64.6,-6.72,19.15,34.64,33.53,ই
-43.65,-9.4,34.71,30.26,14.15,-66.05,-9.93,14.19,32.46,32.62,ই
-42.13,-13.22,37.08,32.92,16.49,-67.54,-8.04,17.52,35.18,33.75,ই
-30.72,-10.41,44.69,28.14,7.68,-74.97,-5.07,24.48,30.44,31.5,ই
-26.05,2.18,57.71,39.28,15.1,-78.79,-7.8,27.39,31.33,30.05,ই
-23.74,5.53,62.17,44.75,22.3,-74.02,-7.82,30.86,38.01,32.76,ই
-19.62,3.79,65.36,51.1,31.85,-73.16,-8.19,38.06,46.47,36.75,ই
-27.12,-8.79,65.78,50.22,29.33,-67.46,-8.33,28.07,42.08,35.06,ই
-33.81,-23.21,61.72,45.66,25.75,-69.17,-12.36,22.12,37.2,33.18,ই
-33.93,-6.67,62.17,45.78,25.4,-70.66,-9.78,20.72,36.11,32.39,ই
-33.68,-6.52,61.83,44.95,24.35,-70.17,-9.82,20.33,35.37,32.07,ই
-49.63,-21.27,47.06,35.85,17.11,-80.51,-18.7,-3.05,17.89,22.96,ই
-48.87,-19.15,48.92,37.08,17.99,-78.42,-17.22,-1.21,19.71,24.14,ই
-32.78,-13.06,60.71,45.63,27.28,-66.44,-11.28,30.05,41.61,34.23,ই
-36.06,-14.35,59.22,44.29,25.91,-66.87,-10.4,23.75,37.94,32.34,ই
-31.25,-6.1,54.21,40.15,25.29,-56.57,6.39,45.0,51.1,40.97,ই
-29.48,-5.24,50.83,37.34,23.57,-52.17,9.59,50.01,54.52,43.64,ই
-24.65,-3.21,40.45,28.41,18.79,-40.52,20.51,60.44,62.58,51.01,ই
-17.2,10.22,56.61,42.84,30.26,-55.7,12.45,69.35,66.91,49.27,ই
-17.5,9.42,55.02,41.6,29.5,-55.48,13.48,68.81,66.92,49.61,ই
-15.61,5.88,67.13,53.14,36.83,-67.83,3.48,68.51,63.96,42.58,ই
-15.57,8.89,66.69,52.29,35.26,-68.83,2.13,60.68,60.36,42.09,ই
-1.51,7.49,67.68,53.57,34.17,-89.14,-2.86,44.59,50.93,37.36,ই
-19.48,2.18,65.35,51.11,31.29,-67.67,-5.03,32.74,43.88,34.78,ই
-27.22,-5.4,55.2,43.44,24.16,-62.48,-8.06,18.62,36.03,31.85,ই
-24.42,-5.01,56.66,45.1,25.23,-58.21,-7.7,22.0,39.38,33.49,ই
-28.6,-10.41,52.78,45.44,25.01,-53.08,-9.68,20.62,36.9,31.78,ই
-26.89,-12.49,51.86,44.77,24.78,-53.75,-10.01,22.17,38.73,32.53,ই
-26.99,-1.15,56.84,41.0,21.41,-64.61,-6.37,26.25,34.11,31.47,ই
-24.54,8.3,63.2,51.06,30.61,-69.57,-5.95,33.24,42.26,33.75,ই
-24.64,-16.78,55.7,47.35,33.5,-62.5,-2.31,43.9,55.48,42.4,ই
-25.11,-15.97,54.1,45.85,31.28,-61.42,-1.73,41.96,53.94,41.98,ই
-21.77,6.06,59.55,50.22,34.05,-64.15,-4.1,41.87,53.66,40.11,ই
-22.85,8.61,58.17,49.09,33.0,-63.18,-2.96,41.47,52.72,40.26,ই
-13.72,20.23,65.63,55.17,39.32,-65.19,-2.58,56.27,63.38,42.43,ই
-16.62,-3.82,63.2,53.64,37.56,-65.83,-4.07,49.25,59.45,41.5,ই
-16.26,-4.25,62.43,53.35,37.57,-66.02,-3.77,48.5,60.18,41.9,ই
-16.51,-12.2,59.22,51.83,35.76,-68.1,-4.77,41.53,57.37,41.15,ই
-16.25,13.25,56.13,50.45,34.56,-67.8,-6.64,37.66,55.02,40.48,ই
-15.18,22.23,57.08,50.09,33.58,-65.87,-4.56,37.6,54.06,40.56,ই
-23.67,21.88,46.15,40.52,23.66,-44.26,-3.58,24.0,38.83,35.04,ই
-22.03,19.4,42.12,36.71,21.84,-38.74,3.07,32.7,45.13,39.44,ই
-19.45,22.3,43.5,37.89,23.42,-41.38,4.05,35.77,48.46,41.24,ই
-19.6,-5.02,53.14,47.54,32.08,-59.54,-6.17,37.71,54.08,41.15,ই
-20.99,-15.47,55.86,45.4,28.41,-57.87,-11.05,36.34,50.94,39.74,ই
-11.69,0.04,67.57,56.73,39.9,-64.31,-9.62,51.36,65.52,42.94,ই
-25.17,-8.21,62.47,56.81,36.05,-68.73,-17.16,15.26,39.67,30.25,ই
-23.38,-0.57,64.8,58.58,37.37,-69.02,-13.48,18.84,43.23,31.99,ই
-36.24,-13.36,51.05,47.77,28.55,-64.39,-16.31,9.51,31.04,28.74,ই
-40.76,-13.47,43.16,40.63,23.04,-55.55,-14.17,11.4,30.6,29.55,ই
-31.44,-11.88,31.85,28.67,16.93,-29.99,9.37,38.53,49.64,43.56,ই
-42.2,-16.53,36.15,35.22,21.8,-42.81,-5.14,19.87,37.08,34.91,ই
-39.39,-12.29,32.06,38.56,34.96,-49.16,-5.13,21.75,42.99,41.05,ই
-34.97,-8.52,48.81,47.07,40.32,-57.45,-3.44,30.93,50.21,42.62,ই
-33.66,-17.04,45.51,43.54,36.54,-54.73,-12.38,27.8,47.42,40.82,ই
-36.66,-16.93,45.73,44.53,36.84,-57.02,-13.41,23.45,44.28,38.93,ই
-28.81,-8.68,51.41,48.17,40.29,-58.83,-9.35,32.12,52.8,42.98,ই
-39.34,-19.99,40.61,40.66,33.02,-53.81,-10.54,21.78,41.31,37.23,ই
-41.51,-21.64,37.01,38.41,31.27,-51.57,-10.8,20.15,39.57,36.3,ই
-41.51,-19.0,33.93,35.15,28.57,-48.41,-6.6,23.53,40.95,37.92,ই
-41.65,-19.65,36.66,37.44,30.39,-49.51,-6.56,24.1,41.58,37.91,ই
-43.74,-19.3,34.05,35.18,28.42,-48.2,-5.88,22.93,39.99,36.97,ই
-38.32,-9.77,38.48,38.27,31.29,-48.93,-2.33,28.28,45.2,40.01,ই
-35.09,-7.99,35.29,34.95,29.55,-42.43,6.21,37.59,52.13,45.28,ই
-32.99,-3.45,42.69,40.96,33.72,-51.69,-0.68,33.41,50.11,42.6,ই
-30.54,-19.46,45.93,42.92,35.28,-50.78,-9.94,33.37,50.84,42.53,ই
-29.96,-11.5,45.96,42.57,35.23,-50.27,-5.84,35.51,52.53,43.73,ই
-37.15,-17.33,36.4,32.94,24.84,-43.54,-14.89,24.06,40.6,37.05,ই
-43.84,-19.84,36.52,34.54,27.15,-39.01,-10.04,20.9,37.19,35.02,ই
-40.46,-14.09,35.91,32.13,25.15,-53.53,-3.58,25.35,39.45,36.8,ই
-31.96,9.41,55.11,44.89,34.29,-70.03,-7.64,26.81,40.91,35.48,ই
-28.94,14.16,59.0,48.13,37.09,-68.5,-6.78,30.42,43.81,36.47,ই
-24.39,11.2,56.0,44.51,34.49,-54.57,-5.64,29.6,44.01,37.47,ই
-25.11,10.07,54.7,44.07,34.4,-53.05,-5.23,32.78,46.33,38.57,ই
-18.06,12.98,43.55,42.71,33.57,-31.42,-1.43,32.44,50.64,41.81,ই
-22.73,7.27,41.98,42.27,32.86,-33.03,-2.14,32.38,49.02,40.86,ই
-25.54,13.89,49.55,43.84,33.7,-56.25,-2.39,36.74,48.44,39.89,ই
-28.32,14.7,47.1,40.18,30.12,-75.17,0.26,38.2,46.9,39.78,ই
-26.65,15.81,45.99,39.93,29.98,-73.2,-0.21,35.43,46.53,40.03,ই
-27.91,7.69,46.81,40.15,29.89,-54.27,-3.47,33.36,44.84,38.51,ই
-31.3,-7.81,42.99,37.77,28.2,-50.91,-5.59,29.33,43.41,37.15,ই
-28.69,-6.84,9.91,7.2,0.5,-61.2,-4.58,18.62,30.37,33.33,ই
-26.47,15.69,37.99,34.23,23.38,-64.94,-1.57,33.53,43.93,38.66,ই
-26.13,1.21,55.23,46.67,34.12,-68.64,-8.55,38.09,50.54,39.7,ই
-26.18,6.45,55.29,46.45,32.88,-69.85,-8.79,34.45,47.23,37.41,ই
-26.31,8.02,54.24,45.06,31.69,-67.52,-7.36,36.27,47.24,37.22,ই
-20.75,14.04,61.76,51.84,36.93,-72.95,-11.25,36.53,49.11,36.73,ই
-15.24,19.35,67.1,56.56,41.14,-74.78,-12.17,43.52,54.94,37.37,ই
-28.18,7.19,59.45,54.25,35.98,-91.75,-29.04,-7.9,18.39,20.52,ই
-28.65,8.02,59.33,54.23,36.02,-91.07,-28.49,-6.8,19.29,20.86,ই
-28.78,8.45,58.21,51.63,33.73,-91.47,-28.57,-7.36,16.64,19.76,ই
-29.37,7.78,57.24,50.92,33.24,-90.6,-27.81,-6.04,17.67,20.44,ই
