p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-37.06,-6.8,-4.79,-8.09,-9.85,-23.07,6.47,27.64,27.79,34.62,ও
-29.23,2.56,3.88,-4.46,-9.19,-28.81,7.91,31.42,28.14,36.94,ও
-28.91,1.73,2.77,-4.62,-8.61,-27.33,8.82,31.84,29.11,37.26,ও
-27.63,2.45,0.74,-4.71,-7.68,-27.65,10.86,33.31,29.36,38.58,ও
-26.1,6.51,5.68,-3.27,-7.28,-30.8,7.44,31.45,29.57,37.77,ও
-27.95,4.61,6.25,-3.71,-7.33,-28.73,6.98,30.62,29.05,37.7,ও
-29.93,1.31,4.98,-4.49,-8.01,-25.13,8.9,31.91,29.57,38.07,ও
-28.73,3.55,6.24,-4.66,-9.58,-29.41,7.02,30.98,28.62,36.88,ও
-32.56,7.13,14.17,3.03,-5.44,-43.66,-3.53,20.28,21.49,30.34,ও
-31.62,6.34,12.9,2.06,-5.22,-41.54,-1.81,22.16,22.82,31.28,ও
-30.74,8.29,15.42,4.4,-3.39,-45.37,-3.19,21.54,22.9,31.9,ও
-48.58,-7.22,0.45,-6.4,-12.75,-45.31,-11.33,8.58,11.99,23.67,ও
-57.38,-10.9,-1.07,-5.05,-11.18,-59.61,-23.37,-5.4,1.09,14.42,ও
-55.26,-9.39,0.09,-4.58,-11.05,-57.01,-21.48,-2.94,3.18,15.9,ও
-46.72,-2.66,7.35,0.69,-6.11,-52.75,-16.37,3.83,9.56,21.03,ও
-49.2,-5.35,3.19,-3.06,-9.25,-44.56,-7.19,13.46,16.19,26.24,ও
-28.14,16.35,27.0,15.34,4.46,-59.85,-11.4,13.93,18.82,27.7,ও
-42.55,-1.98,5.29,-2.55,-9.75,-39.71,-7.54,13.93,16.85,26.57,ও
-39.74,-0.5,6.21,-1.84,-9.16,-38.14,-4.92,16.58,19.2,28.62,ও
-32.72,-5.76,-2.68,-9.23,-14.68,-8.92,3.29,24.46,24.41,31.9,ও
-37.52,-2.45,-0.63,-8.71,-15.07,-8.4,5.31,26.45,26.31,33.68,ও
-37.09,-0.03,2.73,-5.57,-12.81,-13.62,7.34,29.81,29.24,35.79,ও
-31.32,0.32,2.26,-4.55,-11.64,-37.78,-1.79,21.03,23.49,31.78,ও
-38.08,-3.19,-1.46,-8.01,-14.35,-38.51,-7.18,14.54,19.38,28.33,ও
-48.31,-6.12,-5.18,-11.31,-17.57,-54.45,-1.99,19.22,21.59,30.41,ও
-48.37,-5.04,-4.21,-9.98,-16.2,-62.48,-1.31,20.42,22.77,31.28,ও
-40.58,-8.76,-7.62,-11.02,-16.21,-29.22,-0.68,21.25,23.57,31.93,ও
-36.22,-11.26,-11.1,-13.29,-16.81,-20.85,-0.51,21.37,23.75,32.47,ও
-22.83,6.27,7.26,-4.2,-11.74,-30.34,0.57,24.5,26.34,34.31,ও
-20.64,10.9,15.41,5.56,-1.31,-33.21,8.56,35.46,36.05,40.9,ও
-13.51,17.08,19.29,6.96,-1.28,-37.51,6.29,33.39,33.76,38.4,ও
