p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-51.84,-74.84,-83.03,17.66,1.49,-64.3,28.83,-6.01,19.48,21.89,ঋ
-53.1,-75.26,-85.53,16.64,1.1,-62.8,-1.52,4.91,19.84,22.0,ঋ
-51.24,-57.27,-81.43,14.17,-0.88,-60.74,14.98,125.68,23.68,25.16,ঋ
-58.56,-70.58,-83.0,15.59,0.21,-60.26,46.54,15.85,21.12,22.91,ঋ
-58.61,-72.75,-85.1,14.27,-0.84,-55.52,49.23,24.5,20.72,22.78,ঋ
-56.88,-70.36,-82.55,15.23,-0.15,-58.26,42.67,14.68,21.24,23.13,ঋ
-57.97,-73.41,-84.1,14.34,-0.31,-58.1,24.47,32.92,20.15,22.69,ঋ
-56.12,-73.39,-82.06,13.2,-1.02,-59.78,11.96,46.46,22.08,23.83,ঋ
-50.49,-71.27,-79.84,14.15,-1.01,-59.01,10.73,44.06,24.39,25.58,ঋ
-46.44,-75.47,-77.37,18.2,3.77,-62.31,45.35,93.07,28.23,28.25,ঋ
-46.15,-74.78,-83.25,16.35,1.64,-59.21,24.33,90.81,27.4,27.01,ঋ
-42.89,-68.94,-77.12,12.7,-13.63,-65.06,13.05,56.31,27.19,27.99,ঋ
-41.61,-68.53,-76.25,2.24,-11.27,-65.94,6.47,50.78,24.64,26.5,ঋ
-48.46,-63.02,-81.71,2.17,-11.32,-64.62,30.65,72.9,22.96,25.03,ঋ
-48.84,-70.77,-80.26,14.65,-2.47,-62.71,43.49,59.64,25.43,26.3,ঋ
-43.89,-63.09,-72.36,29.38,7.85,-71.48,32.85,39.49,33.55,26.96,ঋ
-36.93,-67.06,-74.8,31.43,8.63,-62.97,41.81,59.79,36.63,27.75,ঋ
-39.39,-75.52,-86.89,27.68,3.56,-35.79,26.04,94.28,27.94,24.64,ঋ
-46.78,-76.62,-84.27,24.69,1.92,-39.41,61.23,106.15,28.29,25.46,ঋ
-37.94,-71.17,-81.25,27.89,2.63,-33.54,48.68,87.5,28.96,26.67,ঋ
-39.43,-71.25,-80.74,26.28,1.94,-33.61,52.16,92.16,29.7,27.17,ঋ
-43.41,-74.18,-84.4,25.68,1.37,-34.14,41.29,90.28,25.71,24.64,ঋ
-42.75,-72.36,-82.37,25.76,1.65,-32.89,39.61,83.31,27.34,25.67,ঋ
-43.05,-75.26,-82.78,23.2,-0.39,-29.38,49.74,101.46,26.36,24.91,ঋ
-35.62,-63.97,-73.95,26.94,3.56,-35.61,39.51,68.26,33.78,29.32,ঋ
-33.52,-59.39,-69.88,28.82,5.35,-38.03,35.56,60.76,36.33,30.42,ঋ
-40.71,-64.75,-76.04,30.98,5.94,-42.34,18.55,34.64,27.82,24.66,ঋ
-43.28,-61.98,-72.78,35.34,8.4,-51.76,2.33,9.55,22.98,21.33,ঋ
-45.29,-62.9,-73.72,33.24,6.57,-50.45,0.51,6.42,21.69,20.68,ঋ
-48.12,-68.91,-79.7,28.28,3.07,-42.76,7.81,15.19,21.45,20.94,ঋ
-48.45,-71.75,-83.08,22.92,-0.51,-36.77,15.93,32.71,22.04,21.61,ঋ
-47.83,-70.87,-80.99,23.27,-0.15,-36.75,18.58,33.84,22.65,21.91,ঋ
-46.38,-69.88,-80.81,22.76,-0.33,-34.95,22.64,46.93,24.48,23.22,ঋ
-47.2,-69.9,-80.6,22.66,-0.25,-35.24,22.64,47.84,24.03,22.95,ঋ
-46.29,-69.5,-79.91,21.5,-1.0,-35.05,27.16,56.33,25.36,23.9,ঋ
-44.82,-67.15,-77.04,21.16,-0.82,-33.05,31.39,60.73,27.55,25.44,ঋ
-43.95,-64.73,-74.75,20.39,-1.11,-33.33,32.37,61.37,28.9,26.33,ঋ
-39.76,-58.1,-67.43,20.19,-0.41,-30.78,35.16,62.1,33.51,29.66,ঋ
-37.21,-54.51,-64.2,22.23,1.48,-34.25,33.08,58.02,35.57,30.74,ঋ
-36.91,-57.15,-64.43,18.83,0.06,-33.94,55.86,83.1,37.94,32.96,ঋ
-48.11,-70.57,-80.4,25.55,1.84,-46.39,10.01,17.36,22.75,21.87,ঋ
-51.23,-71.89,-81.35,25.4,1.75,-49.25,3.13,5.47,20.58,20.48,ঋ
-50.82,-70.73,-80.09,26.91,2.6,-59.04,3.64,8.27,20.77,21.1,ঋ
-45.34,-64.34,-73.8,31.12,6.0,-60.26,0.09,4.64,22.3,21.3,ঋ
-45.21,-64.58,-73.52,31.08,5.96,-58.77,4.14,11.79,23.34,21.81,ঋ
-45.32,-63.37,-72.97,31.93,7.43,-58.58,5.15,14.02,24.82,23.87,ঋ
-44.39,-61.05,-72.79,32.38,17.31,-58.59,6.84,14.81,30.91,32.12,ঋ
-43.97,-61.82,-73.49,30.41,15.67,-55.09,12.03,25.43,31.09,31.64,ঋ
-39.37,-56.09,-67.01,31.69,16.34,-56.82,14.0,34.43,34.31,31.86,ঋ
-43.44,-64.24,-74.01,26.49,12.42,-51.36,21.82,45.94,31.83,30.58,ঋ
-41.34,-60.58,-70.86,24.79,-9.83,-57.37,12.41,34.24,27.34,26.34,ঋ
-40.08,-55.78,-64.83,4.94,-12.92,-61.76,8.04,32.58,20.66,26.27,ঋ
-34.33,-54.32,-62.05,1.04,-1.91,-66.53,2.92,27.85,21.33,28.08,ঋ
-33.98,-55.79,-63.97,1.74,-1.39,-65.98,4.43,31.06,21.93,28.28,ঋ
-32.52,-54.76,-62.59,2.55,-0.85,-65.51,4.53,31.7,22.32,28.51,ঋ
-33.71,-52.51,-60.58,26.89,4.76,-50.91,4.77,34.42,29.98,28.63,ঋ
-30.12,-48.56,-58.24,27.48,4.83,-39.83,4.66,35.14,31.06,29.07,ঋ
-32.95,-50.17,-59.88,27.75,5.81,-43.22,4.41,35.13,32.16,30.12,ঋ
-35.65,-55.53,-65.33,26.91,4.84,-46.42,4.49,37.97,30.09,28.53,ঋ
-35.7,-55.88,-64.46,28.65,6.35,-50.46,4.41,37.64,30.2,28.32,ঋ
-42.14,-63.53,-75.7,18.25,-2.26,-41.99,9.36,49.54,25.92,27.35,ঋ
-44.83,-64.56,-79.9,15.15,-5.9,-44.35,-11.16,-3.31,22.83,25.38,ঋ
-47.7,-64.01,-77.03,16.36,-4.49,-53.36,-8.87,20.96,20.26,23.43,ঋ
-46.35,-60.38,-68.84,13.86,-5.66,-52.09,1.18,33.31,23.29,25.44,ঋ
-46.33,-53.64,-60.41,14.19,-5.13,-51.11,-2.79,29.03,23.97,25.73,ঋ
-45.21,-48.74,-52.63,15.39,-4.43,-48.28,-4.3,23.32,24.96,26.06,ঋ
-55.11,-73.96,-62.61,4.68,-7.11,-58.61,4.3,27.92,22.02,25.92,ঋ
-57.31,-85.84,-84.8,6.13,-7.36,-55.07,53.63,48.67,19.1,23.63,ঋ
-57.31,-74.02,-78.15,1.49,-11.07,-34.02,65.54,128.28,24.56,27.83,ঋ
-55.9,-70.65,-78.59,2.87,-9.88,-36.82,47.82,97.39,25.08,28.2,ঋ
-38.6,-54.46,-68.34,24.33,1.17,-44.51,51.26,60.28,40.92,34.66,ঋ
-50.98,-71.0,-83.43,24.88,-1.3,-60.43,38.99,12.65,23.93,23.04,ঋ
-46.88,-65.79,-76.29,28.92,1.21,-64.41,25.72,12.33,25.18,23.58,ঋ
-50.82,-77.6,-86.46,25.14,-1.87,-66.46,30.08,-42.04,21.2,21.38,ঋ
-43.06,-70.33,-82.03,27.5,0.46,-66.83,37.03,40.64,27.67,25.26,ঋ
-46.93,-77.48,-88.82,23.98,-2.17,-63.07,38.54,131.31,24.92,23.89,ঋ
-45.64,-74.11,-86.68,25.27,-1.16,-64.06,31.39,52.33,26.37,24.44,ঋ
-45.5,-72.77,-84.44,26.04,-0.5,-65.25,28.38,50.99,26.83,24.85,ঋ
-41.53,-69.75,-82.47,27.07,0.4,-65.48,23.25,35.05,28.41,25.47,ঋ
-37.43,-70.3,-84.02,22.31,2.36,-67.3,23.41,52.87,28.53,18.69,ঋ
-34.59,-62.49,-78.2,19.91,7.31,-65.09,-3.84,28.27,28.22,28.67,ঋ
-40.53,-51.75,-85.87,25.49,9.85,-68.25,8.09,69.71,27.65,26.96,ঋ
-41.6,-76.4,-85.26,22.3,5.71,-68.42,23.49,-43.84,22.38,22.97,ঋ
-43.84,-76.84,-88.01,22.93,6.76,-70.93,29.47,-11.85,22.1,22.6,ঋ
-39.18,-71.42,-82.57,26.79,8.85,-73.43,5.98,-12.88,22.38,22.28,ঋ
-39.13,-71.54,-82.7,27.37,9.3,-75.28,5.6,-9.07,22.31,22.2,ঋ
-40.0,-72.03,-83.13,27.32,9.25,-74.96,6.93,-6.97,22.22,22.12,ঋ
-39.61,-72.06,-83.32,26.81,8.78,-74.35,7.74,-8.58,22.48,22.36,ঋ
-39.61,-71.65,-82.49,27.13,9.12,-74.86,4.5,-13.73,22.04,22.05,ঋ
-39.7,-70.69,-82.17,27.18,8.99,-74.78,6.06,-7.06,22.8,22.52,ঋ
-39.92,-71.54,-83.07,26.85,8.72,-74.84,9.08,-1.7,22.88,22.56,ঋ
-40.02,-72.03,-82.99,26.6,8.82,-73.87,6.38,-14.61,21.98,21.92,ঋ
