p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-13.78,12.94,16.12,10.84,3.22,-85.85,0.48,31.8,31.34,31.16,এ
8.71,10.8,13.88,9.16,2.15,-89.23,-3.02,29.7,30.78,30.5,এ
14.56,8.11,11.7,6.62,2.06,-86.26,-2.62,30.62,30.62,30.47,এ
17.49,6.34,6.08,8.19,6.08,-86.04,-2.49,27.19,27.87,29.77,এ
7.01,13.1,19.23,14.96,9.31,-93.49,-6.44,22.76,23.37,25.98,এ
4.88,18.64,26.32,19.77,11.89,-91.79,-4.6,29.31,26.58,28.05,এ
3.0,27.45,35.35,26.69,16.83,-85.5,-5.77,31.96,29.94,30.38,এ
-12.61,14.84,22.42,17.42,8.84,-84.77,-6.61,25.18,23.66,26.2,এ
-11.9,14.87,21.75,16.42,8.47,-83.37,-6.53,25.33,23.47,26.1,এ
15.58,15.69,24.77,19.26,10.47,-97.26,-7.32,26.06,24.62,26.6,এ
0.41,16.62,24.7,19.65,11.38,-91.34,-6.04,26.83,24.85,26.95,এ
-11.74,23.72,30.12,22.92,15.06,-86.99,-6.07,28.57,26.74,29.81,এ
-18.71,37.77,41.82,30.68,14.52,-77.6,-2.99,37.98,33.4,34.09,এ
-20.3,36.76,40.97,32.43,10.54,-75.95,-3.26,37.02,35.0,31.66,এ
-22.48,37.35,42.67,34.39,12.38,-77.06,-3.5,37.24,35.39,31.46,এ
-19.79,29.89,34.75,30.51,21.8,-79.25,-3.7,33.93,34.98,35.94,এ
-25.38,26.79,30.23,18.39,20.69,-75.28,-3.4,32.15,28.06,34.82,এ
-24.83,28.3,19.53,23.99,22.59,-72.37,-1.52,28.69,33.6,36.61,এ
-27.17,18.68,40.27,24.4,19.84,-71.35,-1.53,39.73,30.14,35.67,এ
-23.06,25.83,23.93,3.3,8.35,-68.77,-3.17,28.26,24.86,30.69,এ
-25.64,21.0,25.27,30.96,18.55,-69.6,-0.7,33.99,37.94,34.88,এ
-12.37,18.51,24.57,13.58,4.95,-75.69,-2.76,30.62,25.74,30.18,এ
1.05,32.51,37.88,26.37,11.61,-89.63,-4.47,32.3,29.97,30.29,এ
-2.85,36.39,43.41,31.66,15.85,-84.73,-9.55,28.97,28.32,28.81,এ
-14.13,30.0,35.23,24.87,11.25,-80.65,-3.01,31.71,29.05,29.86,এ
-22.53,21.04,21.09,11.96,-0.54,-73.3,4.89,35.7,31.99,34.43,এ
-14.1,30.39,31.33,21.53,8.99,-69.66,9.59,44.97,40.26,39.46,এ
-15.87,19.11,27.05,19.57,9.67,-76.79,2.29,36.05,32.75,32.05,এ
-6.4,27.0,29.44,18.14,8.08,-67.03,4.6,42.79,38.87,37.23,এ
-5.86,20.01,30.44,20.44,8.57,-87.72,-11.0,20.99,23.47,25.16,এ
-5.16,17.55,29.06,21.3,13.17,-85.24,-9.31,23.76,25.4,27.58,এ
-7.73,37.74,44.95,34.7,21.81,-87.5,-18.81,17.19,21.63,24.92,এ
0.36,32.37,41.4,31.19,18.98,-92.6,-13.75,22.25,23.78,26.28,এ
-8.35,27.67,34.08,24.94,14.51,-88.65,-6.95,26.66,25.96,28.13,এ
-13.0,25.91,28.52,19.83,11.44,-78.29,4.13,37.58,33.74,34.21,এ
-13.29,27.34,28.94,19.98,11.65,-74.86,5.37,39.84,35.71,35.53,এ
-11.46,21.97,25.33,17.6,10.61,-76.35,8.9,42.75,37.63,36.83,এ
-9.97,26.08,29.67,20.76,12.11,-78.65,5.56,39.87,34.79,34.57,এ
-10.01,26.73,30.49,20.92,11.88,-80.11,3.23,37.8,33.4,33.51,এ
-10.57,26.18,29.68,20.34,11.34,-79.87,3.18,37.31,32.71,33.2,এ
-9.14,28.83,32.71,22.94,13.81,-78.99,2.83,38.78,34.46,34.26,এ
-10.16,29.01,32.66,22.76,13.5,-78.26,3.48,39.55,34.99,34.45,এ
-10.43,28.83,32.52,22.92,13.69,-78.3,2.71,38.37,34.29,34.12,এ
-10.14,29.58,33.55,23.7,14.21,-77.82,2.98,39.03,34.92,34.87,এ
-9.09,28.96,36.91,27.21,16.19,-86.07,-6.72,28.63,27.33,28.88,এ
-11.13,25.44,36.97,28.65,16.37,-95.24,-16.67,14.9,17.41,22.22,এ
-18.82,21.96,30.36,22.85,12.87,-86.25,-7.73,23.62,23.27,26.43,এ
-25.04,20.74,23.68,16.24,8.04,-73.91,5.02,35.76,31.83,33.37,এ
-25.04,19.24,26.62,19.94,9.86,-85.91,-7.57,22.15,21.9,26.37,এ
-26.7,18.3,26.81,20.52,10.56,-87.28,-8.28,20.97,20.58,24.97,এ
-17.45,19.73,26.19,18.3,8.64,-86.09,-9.32,23.6,23.65,25.95,এ
-22.11,13.05,20.87,15.78,8.07,-88.51,-7.42,22.77,22.76,26.15,এ
-11.87,17.62,23.23,16.46,7.99,-93.27,-5.46,25.13,23.62,27.01,এ
