p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-0.5,-9.97,-6.74,-5.63,-9.08,-102.7,-32.13,-12.28,2.52,7.57,অ
13.41,-3.36,4.31,1.77,-2.92,-92.59,-24.2,-1.96,12.76,14.71,অ
12.12,-4.54,2.18,0.58,-3.96,-92.26,-24.34,-2.45,13.25,14.82,অ
-1.95,-17.2,-10.99,-13.88,-15.13,-89.77,-16.44,4.4,18.11,18.21,অ
2.5,-11.72,-4.55,-8.22,-11.24,-91.15,-19.18,1.84,16.84,17.33,অ
13.56,-2.88,5.02,-0.32,-4.97,-88.77,-19.55,2.32,18.22,18.21,অ
12.15,-2.49,5.02,-0.66,-5.5,-87.83,-18.39,3.18,18.63,18.51,অ
11.93,-2.96,4.12,-1.53,-6.09,-87.03,-18.06,3.23,18.52,18.15,অ
8.95,-6.16,1.16,-3.52,-7.76,-87.32,-17.27,4.49,19.18,18.83,অ
11.23,-3.1,4.39,-1.24,-6.35,-84.76,-15.84,5.96,20.61,19.86,অ
-5.23,-4.17,2.81,-2.96,-7.32,-73.54,-14.26,6.79,21.25,21.05,অ
-6.66,-5.06,1.86,-3.45,-8.1,-73.5,-13.16,7.64,21.56,22.97,অ
-3.75,-5.24,1.62,-2.13,-8.25,-86.41,-16.34,4.21,15.7,18.28,অ
5.72,-5.71,-0.44,-2.3,-6.78,-99.85,-19.71,2.02,13.57,16.44,অ
2.96,-7.06,-1.9,-2.53,-6.48,-90.68,-19.4,1.34,13.04,16.01,অ
-1.87,-4.37,0.94,-3.19,-7.86,-83.87,-12.63,8.35,20.17,21.21,অ
-3.93,-8.89,-3.41,-6.72,-10.01,-86.38,-14.57,6.04,19.03,20.02,অ
-1.83,-14.07,-9.58,-12.16,-14.22,-81.07,-11.47,12.05,22.64,21.68,অ
-7.45,-15.27,-8.03,-9.85,-12.27,-84.54,-14.01,6.59,19.73,20.3,অ
-8.05,-12.8,-6.67,-6.18,-8.03,-77.13,-3.67,18.4,29.15,26.6,অ
-5.86,-8.68,-2.38,-2.71,-6.09,-76.96,-5.59,16.88,27.9,26.13,অ
-5.87,-9.27,-3.2,-3.68,-7.51,-76.55,-5.31,17.41,28.39,26.3,অ
-7.84,-11.14,-5.53,-5.47,-8.61,-76.3,-3.9,18.5,28.95,26.73,অ
-6.73,-9.66,-4.25,-4.87,-8.73,-75.51,-4.2,18.64,29.14,27.12,অ
-14.79,-21.59,-18.46,-20.04,-19.62,-74.77,-2.95,19.12,28.79,26.41,অ
-17.64,-24.5,-20.87,-21.29,-20.96,-81.66,-6.96,15.16,25.41,24.01,অ
-20.43,-28.52,-25.13,-23.97,-22.77,-80.65,-5.59,16.83,25.88,24.18,অ
-13.16,-24.77,-21.26,-19.71,-19.3,-82.85,-9.03,11.97,22.47,21.37,অ
-3.61,-16.92,-11.61,-13.82,-15.47,-93.48,-18.5,0.88,14.52,15.53,অ
-4.75,-16.38,-11.1,-12.96,-14.92,-93.1,-18.55,0.98,14.28,15.16,অ
-4.06,-15.85,-10.42,-12.05,-14.09,-93.65,-19.04,0.73,14.43,15.34,অ
-2.68,-17.41,-13.28,-15.55,-15.97,-98.26,-25.59,-5.25,8.78,11.34,অ
-1.25,-16.47,-10.51,-12.27,-13.72,-95.47,-23.19,-2.24,13.21,14.82,অ
8.79,-4.65,3.46,-0.63,-7.54,-102.76,-21.36,-0.5,14.37,16.2,অ
10.36,-8.26,1.01,-3.23,-8.41,-101.87,-20.72,-0.92,14.87,16.54,অ
6.08,-11.86,-4.47,-7.91,-11.18,-101.72,-21.95,-1.21,14.08,15.13,অ
6.51,-19.58,-12.86,-15.85,-14.75,-88.54,-19.66,3.62,17.49,20.52,অ
2.74,-17.84,-11.5,-14.22,-14.52,-90.98,-15.58,7.4,19.25,18.87,অ
0.45,-15.85,-11.99,-13.29,-12.56,-91.74,-13.17,11.15,17.06,18.02,অ
-0.25,-16.05,-11.8,-11.3,-12.53,-90.32,-14.42,9.12,17.45,18.04,অ
-3.76,-18.11,-14.99,-15.34,-15.45,-87.66,-9.9,12.89,20.4,20.72,অ
1.64,-11.77,-7.29,-9.07,-11.16,-87.38,-12.56,10.83,19.69,20.4,অ
1.81,-12.69,-8.18,-9.33,-11.17,-88.53,-14.3,9.02,18.09,18.97,অ
13.24,-5.69,0.01,-3.28,-5.13,-90.3,-18.25,5.57,14.97,16.81,অ
13.88,-4.93,0.9,-2.43,-4.69,-88.81,-17.14,6.7,16.23,17.64,অ
13.54,-5.14,0.66,-2.71,-5.23,-89.04,-17.5,6.53,15.66,17.15,অ
13.13,-8.42,-2.63,-3.85,-6.61,-97.58,-26.01,-2.94,8.86,12.11,অ
12.65,-8.65,-2.94,-3.83,-6.65,-96.57,-25.03,-1.96,9.42,12.69,অ
3.47,-16.87,-12.17,-9.9,-11.83,-100.91,-26.55,-3.71,8.03,11.7,অ
0.6,-19.23,-14.8,-12.6,-13.88,-97.78,-23.77,-1.14,10.06,13.13,অ
-0.86,-20.3,-16.29,-13.97,-14.95,-97.2,-22.58,0.24,11.08,13.89,অ
-1.43,-20.65,-16.42,-14.27,-15.15,-96.54,-21.52,1.23,11.91,14.67,অ
-2.1,-20.99,-16.91,-14.52,-15.35,-96.78,-21.58,1.31,11.9,14.81,অ
-3.33,-19.3,-15.35,-14.21,-14.8,-87.08,-12.42,11.38,19.86,21.07,অ
-3.03,-18.61,-14.95,-13.79,-14.58,-86.56,-12.39,11.46,20.29,21.57,অ
-3.11,-18.97,-15.29,-13.94,-15.0,-87.93,-12.31,10.51,19.31,20.66,অ
-4.76,-17.74,-14.05,-13.36,-14.26,-78.54,-3.42,20.34,27.24,26.9,অ
-4.31,-17.08,-13.23,-12.91,-13.83,-77.75,-2.71,21.14,28.17,27.52,অ
0.14,-12.97,-8.98,-9.94,-11.14,-77.04,-3.85,20.55,27.36,26.82,অ
5.4,-6.95,-2.23,-4.63,-7.12,-75.35,-4.76,19.93,28.01,27.13,অ
5.14,-7.31,-2.54,-4.85,-7.13,-75.0,-4.6,20.17,28.12,27.3,অ
8.58,-3.74,1.93,-0.81,-3.86,-74.6,-5.94,18.74,27.32,26.39,অ
10.01,-2.88,2.4,-0.83,-4.03,-74.22,-5.95,19.13,27.53,26.48,অ
11.84,-1.17,4.5,0.91,-2.75,-74.78,-6.67,18.37,27.2,26.1,অ
