p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-32.09,11.72,5.83,2.13,-8.39,-119.19,25.98,20.52,13.88,21.63,অ
-31.81,11.98,6.12,2.45,-8.52,-119.5,26.09,20.75,14.16,21.91,অ
-31.38,10.62,4.38,0.72,-9.7,-118.44,26.08,20.08,13.38,21.25,অ
-31.5,11.62,5.64,1.97,-8.93,-118.78,25.93,20.29,13.59,21.24,অ
-31.73,10.89,4.83,1.25,-9.26,-117.67,26.16,20.4,13.84,21.48,অ
-30.99,11.49,5.33,1.61,-8.97,-119.59,26.24,20.67,13.96,21.82,অ
-31.9,11.16,5.32,1.67,-8.9,-117.57,26.24,20.55,13.84,21.51,অ
-31.03,11.09,5.2,1.61,-8.85,-119.18,25.84,20.05,13.17,21.07,অ
-31.52,11.41,5.42,1.7,-8.85,-119.45,26.2,20.61,13.95,21.56,অ
-32.09,11.44,5.5,2.01,-8.6,-118.01,25.73,20.28,13.52,21.35,অ
-31.45,11.42,5.49,1.81,-8.86,-119.33,25.78,20.22,13.57,21.48,অ
-31.57,11.22,5.43,2.0,-8.6,-118.1,26.51,21.03,14.3,21.93,অ
-31.2,10.59,4.89,1.66,-8.67,-117.08,25.72,19.9,13.36,20.93,অ
-31.35,11.92,6.31,2.89,-7.83,-118.84,26.4,21.07,14.4,22.11,অ
-31.27,11.44,5.33,1.37,-9.71,-119.05,26.08,20.58,14.14,22.19,অ
-30.56,10.22,3.98,0.47,-9.95,-118.6,26.72,21.14,14.59,22.09,অ
-30.7,10.66,4.45,0.87,-9.85,-119.23,26.54,21.02,14.41,22.07,অ
-29.33,10.23,4.25,0.56,-10.37,-118.26,26.37,20.73,14.54,22.37,অ
-26.86,10.94,6.75,3.88,-5.94,-105.26,22.62,15.82,8.15,20.12,অ
-27.72,9.32,4.64,1.65,-8.32,-103.84,23.34,16.27,8.52,19.27,অ
-28.13,9.28,4.79,1.39,-8.66,-104.63,23.21,16.29,9.03,19.59,অ
-28.79,9.75,5.38,1.47,-9.37,-105.44,23.38,16.88,9.88,20.48,অ
-27.96,8.76,3.94,0.08,-10.39,-105.05,23.13,16.27,9.03,19.74,অ
-27.69,7.72,3.19,-0.37,-10.71,-105.1,23.08,16.02,8.49,19.31,অ
-28.89,7.6,3.01,-0.6,-10.68,-102.36,23.48,16.45,8.9,19.66,অ
-28.99,7.04,2.38,-1.43,-11.7,-102.7,23.55,16.31,8.69,19.39,অ
