p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label,label_encoded
-59.32,49.12,51.86,-23.63,-13.42,54.65,-9.82,19.15,15.49,13.33,ঋ,5
-61.25,49.98,52.06,-23.98,-14.48,55.32,-8.82,19.66,17.21,14.38,ঋ,5
-57.89,47.91,51.83,-24.96,-14.52,52.31,-11.61,15.31,14.05,11.57,ঋ,5
-59.06,47.77,50.92,-24.94,-13.97,50.64,-9.54,17.57,15.15,12.81,ঋ,5
-59.17,45.21,47.46,-28.25,-17.62,44.75,-7.99,15.71,14.75,11.84,ঋ,5
-59.93,48.57,49.97,-23.07,-11.02,53.06,-6.49,23.7,17.21,15.11,ঋ,5
-59.01,45.69,47.77,-26.76,-15.31,46.44,-7.06,18.37,15.74,13.34,ঋ,5
-60.03,47.59,49.99,-25.33,-14.72,50.41,-7.97,18.65,16.25,13.9,ঋ,5
-57.74,46.25,47.46,-27.97,-16.12,51.08,-6.34,18.48,15.77,13.32,ঋ,5
-57.93,46.81,48.23,-27.77,-16.7,53.34,-6.93,18.3,16.06,13.79,ঋ,5
-52.25,45.89,47.93,-29.96,-17.69,54.77,-9.01,15.88,13.39,10.75,ঋ,5
-52.57,45.35,46.75,-30.92,-18.91,54.72,-8.0,15.66,14.34,11.21,ঋ,5
-51.86,46.15,48.02,-29.42,-17.55,57.02,-9.1,15.97,13.81,11.29,ঋ,5
-52.54,45.84,47.72,-29.44,-17.29,56.3,-8.4,16.36,14.37,11.75,ঋ,5
-52.22,45.64,47.71,-30.03,-18.05,55.63,-8.84,15.6,13.85,11.29,ঋ,5
-52.2,46.32,48.17,-29.72,-17.82,56.18,-9.14,16.09,13.84,11.19,ঋ,5
-52.08,46.21,48.28,-29.43,-17.77,56.8,-9.05,16.0,14.12,11.58,ঋ,5
-52.43,45.93,47.56,-29.95,-17.95,55.58,-8.51,16.28,14.02,11.23,ঋ,5
-52.06,45.46,47.39,-29.97,-17.8,54.91,-8.48,16.19,13.8,11.25,ঋ,5
-52.15,46.29,48.53,-29.07,-16.65,57.12,-9.03,16.23,13.81,11.32,ঋ,5
-51.94,45.89,47.81,-29.6,-17.36,55.77,-8.67,16.34,13.96,11.38,ঋ,5
-52.05,46.17,48.03,-29.26,-16.94,56.61,-8.51,16.68,13.98,11.47,ঋ,5
-67.8,47.59,52.37,-22.92,-27.41,34.42,-18.45,18.84,8.44,9.3,ঋ,5
-71.06,48.36,51.01,-24.76,-31.54,33.95,-15.39,21.3,12.87,14.43,ঋ,5
-67.41,45.12,50.59,-25.94,-31.34,31.38,-18.13,14.25,8.36,9.68,ঋ,5
-68.01,48.0,54.26,-21.57,-27.2,41.26,-20.56,18.0,9.07,10.91,ঋ,5
-70.93,49.33,53.47,-22.41,-28.88,42.87,-17.47,21.13,11.86,13.49,ঋ,5
-69.48,49.04,54.03,-20.92,-27.22,45.61,-18.86,20.49,10.97,13.29,ঋ,5
-71.11,50.35,54.65,-20.52,-26.66,50.04,-18.47,23.04,12.29,14.63,ঋ,5
-71.13,49.17,52.53,-21.9,-27.73,42.84,-15.98,22.97,12.42,14.41,ঋ,5
-71.45,49.15,52.73,-22.35,-28.86,45.24,-16.74,21.7,12.7,14.63,ঋ,5
-71.75,49.85,53.62,-20.7,-26.71,46.74,-16.85,23.71,12.67,14.86,ঋ,5
-71.31,49.11,52.08,-21.8,-27.77,43.91,-15.53,23.45,12.82,14.98,ঋ,5
-71.38,49.33,52.85,-21.64,-27.8,46.16,-16.26,22.66,12.84,14.97,ঋ,5
-69.13,48.74,52.2,-21.58,-27.22,44.28,-16.06,22.79,11.75,14.16,ঋ,5
-64.46,44.4,50.73,-26.05,-30.85,34.73,-18.9,12.66,7.71,8.56,ঋ,5
-65.87,44.62,49.65,-26.57,-31.2,33.52,-16.88,15.14,8.83,9.84,ঋ,5
-66.18,42.47,44.56,-31.2,-36.17,21.26,-12.46,15.55,10.27,10.28,ঋ,5
-66.05,44.38,48.19,-27.09,-31.55,31.62,-15.33,16.07,8.96,9.72,ঋ,5
-68.87,43.89,46.22,-28.82,-33.6,26.09,-12.63,17.55,11.11,11.87,ঋ,5
-68.8,44.79,47.26,-27.78,-32.95,28.7,-13.02,18.25,11.53,12.46,ঋ,5
-68.94,44.93,46.98,-27.61,-32.34,28.26,-12.26,19.72,11.66,12.67,ঋ,5
-69.15,45.03,47.91,-28.34,-34.03,29.76,-13.82,17.28,11.73,12.41,ঋ,5
-67.71,43.95,46.05,-28.71,-33.73,26.25,-12.74,17.61,10.53,11.41,ঋ,5
-68.32,43.61,45.88,-29.73,-34.79,24.17,-12.44,17.24,11.26,11.88,ঋ,5
-69.2,45.08,47.63,-27.69,-33.19,28.87,-13.05,18.29,11.76,12.74,ঋ,5
-68.3,44.31,47.22,-28.18,-33.43,27.49,-13.37,17.64,11.14,11.84,ঋ,5
-68.64,43.99,45.72,-29.02,-34.06,24.45,-11.85,18.42,11.94,12.6,ঋ,5
-64.12,42.27,46.76,-29.32,-33.85,27.11,-15.7,13.01,7.57,8.35,ঋ,5
-66.77,42.73,44.98,-30.68,-35.22,22.66,-12.64,15.93,9.89,10.24,ঋ,5
-66.87,43.75,46.68,-28.72,-33.53,27.39,-13.86,16.4,10.07,10.99,ঋ,5
-67.65,44.1,46.65,-29.12,-33.94,27.21,-13.37,17.04,10.82,11.55,ঋ,5
-68.58,44.12,46.94,-29.22,-34.42,26.14,-13.33,17.24,11.43,12.25,ঋ,5
-68.0,44.22,47.04,-28.67,-33.65,26.88,-13.02,18.09,11.0,11.86,ঋ,5
-67.59,43.33,45.39,-30.16,-35.25,24.22,-12.38,16.89,11.31,11.71,ঋ,5
-67.58,43.52,46.05,-29.68,-34.83,25.15,-12.88,16.45,10.7,11.47,ঋ,5
-68.33,43.93,46.77,-29.58,-35.4,26.25,-13.61,16.12,11.27,11.98,ঋ,5
-68.12,43.56,45.49,-29.7,-34.87,23.1,-11.89,17.95,11.45,12.16,ঋ,5
-68.0,43.5,45.85,-29.91,-34.86,24.8,-12.44,17.14,11.27,11.89,ঋ,5
-68.65,43.84,45.91,-29.97,-35.08,25.05,-12.39,17.33,11.85,12.32,ঋ,5
-67.89,42.89,44.38,-31.2,-36.35,20.92,-11.41,17.37,11.46,11.98,ঋ,5
-67.83,44.08,46.53,-29.74,-34.76,27.27,-13.06,17.12,11.31,12.08,ঋ,5
-66.57,43.69,47.55,-28.84,-33.66,29.23,-14.58,15.22,9.62,10.57,ঋ,5
-67.43,44.83,48.19,-28.02,-33.46,31.55,-14.45,16.88,10.78,12.13,ঋ,5
-67.9,43.51,45.88,-30.12,-35.12,25.59,-12.69,16.56,10.76,11.46,ঋ,5
-66.83,47.37,52.69,-22.25,-27.67,44.93,-18.09,18.23,9.98,12.39,ঋ,5
-66.97,44.45,48.27,-26.2,-30.46,34.89,-15.51,16.23,9.23,10.99,ঋ,5
-63.67,45.88,53.14,-21.8,-26.22,44.65,-20.75,14.17,6.99,9.46,ঋ,5
-64.3,45.52,52.1,-23.21,-27.88,43.87,-19.76,13.9,7.43,9.67,ঋ,5
-64.99,42.74,48.51,-27.48,-32.42,32.82,-17.16,12.18,7.08,8.36,ঋ,5
-65.74,42.11,45.32,-29.58,-34.15,25.41,-13.8,14.6,8.48,9.53,ঋ,5
-66.91,42.69,45.28,-29.8,-34.7,25.21,-13.03,15.41,9.65,10.76,ঋ,5
-67.58,42.62,44.84,-30.04,-35.01,22.99,-11.87,17.15,10.49,11.64,ঋ,5
-68.75,42.78,43.97,-31.03,-36.09,22.34,-11.16,17.35,11.26,11.95,ঋ,5
-69.42,43.66,44.55,-30.19,-35.25,23.17,-10.6,18.74,12.01,13.03,ঋ,5
-67.59,43.23,44.96,-29.86,-35.22,24.34,-11.41,18.23,11.07,12.3,ঋ,5
-68.67,42.65,44.26,-30.98,-35.83,22.38,-11.63,16.55,10.83,11.45,ঋ,5
-67.6,41.89,43.39,-31.71,-36.63,20.05,-11.06,16.33,10.61,11.02,ঋ,5
-69.16,44.39,46.58,-28.71,-33.89,28.6,-12.58,18.08,11.4,12.69,ঋ,5
-69.12,43.31,45.05,-29.88,-35.15,23.62,-11.58,17.29,11.29,12.3,ঋ,5
-69.28,42.28,43.13,-31.88,-37.11,18.34,-9.89,18.15,11.86,12.52,ঋ,5
-69.52,43.58,44.76,-29.73,-34.82,23.23,-10.49,19.19,12.28,13.53,ঋ,5
-69.79,43.32,43.92,-30.55,-35.7,20.72,-9.89,19.16,12.83,13.75,ঋ,5
-69.48,43.29,44.14,-30.41,-35.99,22.49,-10.32,18.67,12.5,13.56,ঋ,5
-70.21,43.77,44.57,-30.18,-35.71,24.19,-10.44,19.22,12.98,14.42,ঋ,5
-69.68,43.45,44.14,-30.43,-35.83,23.89,-10.45,18.69,12.43,13.67,ঋ,5
-70.54,43.89,43.88,-30.63,-36.3,21.34,-9.3,20.25,13.91,14.96,ঋ,5
-69.47,43.5,45.03,-29.8,-34.99,23.7,-10.64,18.94,12.25,13.49,ঋ,5
-70.54,44.51,45.95,-29.36,-34.73,26.49,-11.38,19.02,12.7,13.93,ঋ,5
-69.65,42.98,43.89,-31.0,-36.36,21.39,-10.29,18.11,12.15,12.86,ঋ,5
-69.05,43.08,44.76,-30.38,-35.82,24.82,-11.33,17.25,11.63,12.62,ঋ,5
-71.05,44.8,44.94,-29.1,-34.47,25.47,-9.54,21.17,14.01,15.46,ঋ,5
-72.14,44.16,42.59,-31.7,-37.51,20.19,-7.79,21.59,16.23,17.56,ঋ,5
-69.97,47.35,50.43,-24.1,-30.11,42.56,-14.62,20.84,13.43,16.02,ঋ,5
-71.3,47.67,49.18,-24.65,-30.25,40.4,-12.78,22.7,14.23,16.46,ঋ,5
-72.46,46.28,46.14,-27.39,-33.34,29.99,-9.09,23.58,15.49,17.47,ঋ,5
-69.93,45.42,47.03,-26.95,-32.01,33.04,-12.03,20.34,13.2,14.8,ঋ,5
-71.24,44.82,45.3,-28.46,-34.14,26.77,-9.73,20.86,14.45,15.9,ঋ,5
-70.32,44.45,45.02,-28.67,-33.96,26.0,-9.71,20.97,13.76,15.16,ঋ,5
-69.56,43.35,44.64,-29.74,-34.87,23.31,-10.39,18.76,12.57,13.65,ঋ,5
-71.25,45.84,46.92,-27.41,-33.18,31.07,-10.92,21.37,14.14,15.68,ঋ,5
-70.93,44.84,45.51,-28.28,-33.77,27.06,-9.98,20.96,13.93,15.15,ঋ,5
-70.57,44.37,44.84,-29.06,-34.5,25.78,-9.47,21.23,13.97,15.38,ঋ,5
-68.18,43.81,46.45,-27.91,-33.29,29.54,-12.86,17.8,11.49,13.03,ঋ,5
-71.3,44.61,44.84,-29.73,-35.6,25.04,-9.31,21.32,14.98,16.55,ঋ,5
-70.03,45.6,47.07,-27.19,-32.86,32.34,-11.48,20.87,13.49,15.1,ঋ,5
-72.22,44.0,43.97,-29.39,-35.14,24.0,-9.32,20.4,14.91,16.15,ঋ,5
-64.29,39.52,43.29,-30.78,-35.46,21.15,-13.91,10.95,6.66,7.25,ঋ,5
-62.69,37.97,41.25,-32.67,-37.48,16.36,-13.25,9.92,6.0,6.59,ঋ,5
-67.65,42.29,44.57,-29.15,-33.94,23.46,-12.13,16.48,10.47,11.49,ঋ,5
-68.35,42.02,43.06,-29.93,-34.56,20.62,-10.86,16.63,11.36,11.97,ঋ,5
-68.51,44.32,47.06,-26.75,-31.91,28.59,-13.41,17.67,11.12,12.37,ঋ,5
-67.84,42.33,43.88,-29.42,-34.9,28.04,-13.19,14.33,9.68,10.5,ঋ,5
-66.22,43.42,50.27,-24.57,-30.99,37.48,-20.0,8.28,8.28,10.21,ঋ,5
-69.51,47.04,49.21,-21.97,-27.67,45.25,-16.43,21.17,12.34,14.64,ঋ,5
-68.9,43.87,44.9,-26.09,-30.89,32.78,-12.48,19.5,11.63,13.23,ঋ,5
-70.75,43.74,43.55,-27.43,-32.92,28.89,-10.82,20.3,12.95,14.42,ঋ,5
-69.71,48.62,52.35,-14.32,-20.89,27.83,-14.41,16.98,7.55,12.75,ঋ,5
-69.74,49.82,54.59,-13.59,-20.03,34.41,-15.66,17.49,8.5,13.24,ঋ,5
-69.23,48.28,52.42,-12.31,-18.58,38.14,-14.04,17.14,8.54,13.42,ঋ,5
-68.9,47.05,51.05,-13.87,-20.07,34.05,-12.99,16.3,8.31,13.16,ঋ,5
-70.24,47.89,50.47,-13.3,-19.64,35.3,-11.38,19.04,9.58,14.32,ঋ,5
-70.16,47.53,49.71,-14.01,-20.41,35.66,-11.23,18.07,9.39,14.02,ঋ,5
-69.67,47.58,50.9,-13.55,-19.89,36.31,-12.64,17.06,8.88,13.93,ঋ,5
-69.53,48.02,51.34,-12.68,-19.02,36.31,-12.26,18.66,9.1,14.18,ঋ,5
-69.84,47.81,50.7,-13.49,-19.99,36.03,-11.9,17.87,9.19,13.94,ঋ,5
-66.09,46.29,53.37,-11.66,-18.1,38.76,-16.8,12.26,5.48,10.59,ঋ,5
-69.13,51.38,49.46,-27.08,-15.88,28.65,-1.12,29.37,19.28,15.8,ঋ,5
-68.08,51.51,51.27,-25.26,-13.89,34.58,-3.66,28.16,18.09,15.13,ঋ,5
-67.03,51.87,51.51,-24.56,-12.87,34.47,-3.6,28.86,18.28,15.65,ঋ,5
-67.22,51.38,50.39,-25.49,-13.74,33.53,-2.64,28.26,18.01,15.1,ঋ,5
-66.64,51.31,50.52,-25.49,-13.97,33.32,-2.51,28.9,18.14,15.32,ঋ,5
-66.5,50.5,48.92,-26.05,-14.05,30.6,-0.68,28.86,18.21,15.01,ঋ,5
-66.83,50.36,49.79,-27.06,-16.0,31.78,-2.93,25.27,17.4,14.62,ঋ,5
-67.31,50.92,50.37,-26.41,-15.19,33.97,-3.0,26.73,17.78,14.87,ঋ,5
-66.82,50.0,48.72,-26.8,-14.99,31.16,-1.17,27.42,18.33,15.39,ঋ,5
-66.7,50.65,48.83,-25.98,-14.26,32.44,-0.93,28.89,18.26,15.24,ঋ,5
-66.07,50.58,50.07,-25.23,-13.42,34.26,-2.69,28.07,17.39,14.63,ঋ,5
-68.23,51.72,50.45,-25.87,-15.17,35.06,-1.88,28.48,19.29,16.37,ঋ,5
-67.11,50.4,48.75,-26.5,-15.03,32.76,-0.96,28.21,18.72,15.66,ঋ,5
-64.44,47.98,45.81,-28.69,-16.02,29.54,1.23,26.52,18.93,16.05,ঋ,5
-67.2,50.13,46.55,-27.29,-15.52,35.71,2.05,29.55,21.24,18.1,ঋ,5
-66.47,49.54,47.29,-27.57,-16.42,36.01,0.93,27.5,19.95,17.04,ঋ,5
-66.94,49.74,46.64,-27.95,-16.42,35.28,2.05,28.54,21.03,17.92,ঋ,5
-67.14,49.1,44.86,-28.41,-16.5,32.93,4.02,29.42,21.16,17.88,ঋ,5
-67.4,49.15,44.71,-28.65,-17.13,31.67,4.46,29.53,21.75,18.49,ঋ,5
-67.23,48.8,44.38,-29.03,-17.27,32.09,4.42,29.33,21.57,18.15,ঋ,5
-67.51,49.49,45.8,-28.05,-16.75,34.5,3.01,29.06,21.3,18.22,ঋ,5
-67.37,49.22,45.14,-28.36,-16.84,33.84,3.61,28.96,21.34,18.19,ঋ,5
-66.73,49.03,45.13,-28.04,-16.36,33.88,3.93,29.6,21.66,18.48,ঋ,5
-66.4,48.76,44.62,-27.77,-15.55,36.04,4.61,28.85,21.97,18.09,ঋ,5
-66.17,48.07,43.68,-28.79,-16.31,34.83,5.24,28.7,22.1,18.04,ঋ,5
-66.12,48.1,44.01,-28.26,-16.21,35.24,4.87,28.52,21.61,17.57,ঋ,5
-66.58,48.62,44.7,-28.24,-16.01,36.58,4.14,28.21,21.46,17.49,ঋ,5
-66.43,48.41,44.3,-28.45,-16.48,35.28,4.86,28.33,21.87,18.05,ঋ,5
-66.47,48.72,44.61,-27.99,-15.7,36.09,4.67,29.03,21.61,17.82,ঋ,5
-66.05,48.19,43.91,-28.69,-16.4,35.61,4.61,28.37,21.61,17.68,ঋ,5
-66.11,50.78,48.19,-25.33,-12.84,45.36,0.77,29.39,20.75,16.84,ঋ,5
-67.17,50.07,46.5,-26.9,-14.98,41.44,3.11,29.14,22.26,17.77,ঋ,5
-65.22,47.45,56.45,-27.04,-20.69,24.89,-11.27,16.56,7.54,7.47,ঋ,5
-66.66,46.3,50.9,-32.43,-26.34,18.18,-6.26,16.28,8.38,7.51,ঋ,5
-68.73,48.55,53.15,-29.62,-24.23,19.41,-5.78,21.17,11.21,10.63,ঋ,5
-65.31,45.01,48.04,-32.18,-25.14,19.29,-2.97,18.75,7.86,7.22,ঋ,5
-65.25,44.14,47.64,-34.24,-27.21,16.05,-3.26,14.87,8.31,7.58,ঋ,5
-64.6,44.38,48.29,-33.43,-26.38,18.49,-3.92,14.89,7.63,6.93,ঋ,5
-64.38,43.71,47.11,-34.55,-27.48,15.88,-2.76,14.81,8.06,7.39,ঋ,5
-64.7,43.87,46.49,-34.83,-27.81,15.26,-1.74,16.42,8.84,8.05,ঋ,5
-65.9,43.5,42.21,-38.97,-32.68,7.26,2.73,18.88,12.27,11.15,ঋ,5
-64.88,43.45,46.36,-33.11,-25.93,17.95,-2.24,15.45,7.3,6.83,ঋ,5
-65.81,42.27,44.65,-35.03,-28.57,10.44,-0.65,13.9,6.84,6.52,ঋ,5
-70.5,46.87,48.48,-30.22,-24.03,21.4,-0.9,21.14,12.22,11.69,ঋ,5
-68.75,45.6,47.54,-28.95,-22.34,28.43,-0.79,20.12,10.46,10.46,ঋ,5
-69.19,45.6,47.83,-29.35,-23.31,27.11,-1.9,18.37,10.9,11.06,ঋ,5
-70.91,46.36,47.5,-29.79,-23.9,25.94,-0.13,20.75,12.35,12.3,ঋ,5
-38.26,-14.6,-26.24,-34.48,-33.02,-92.44,24.98,13.39,13.05,16.53,এ,6
-37.25,-14.88,-26.44,-34.88,-33.99,-93.04,25.62,14.35,14.28,18.51,এ,6
-36.9,-15.17,-27.29,-36.74,-36.26,-92.34,25.33,14.59,15.36,19.16,এ,6
-36.11,-16.36,-28.76,-37.57,-37.12,-91.03,24.77,13.59,13.67,17.43,এ,6
-37.32,-14.48,-26.99,-36.79,-36.83,-95.14,26.36,15.58,16.11,19.96,এ,6
-36.1,-16.01,-29.12,-39.18,-39.03,-92.81,26.13,15.22,15.48,18.66,এ,6
-35.81,-15.87,-29.11,-39.27,-39.44,-94.04,26.37,15.7,16.28,19.53,এ,6
-37.06,-14.82,-27.98,-38.25,-39.15,-93.74,25.9,14.88,15.27,18.39,এ,6
-35.61,-16.04,-29.65,-40.13,-40.72,-93.56,26.15,15.2,15.22,18.45,এ,6
-35.92,-15.95,-29.13,-39.48,-39.91,-94.32,26.53,15.68,15.79,18.84,এ,6
-39.18,-13.24,-25.53,-35.77,-36.46,-96.32,26.98,16.02,16.59,20.0,এ,6
-38.78,-14.12,-26.7,-36.58,-36.63,-93.62,25.65,14.0,14.02,17.29,এ,6
-38.38,-14.17,-26.85,-36.68,-37.11,-95.1,26.46,15.37,15.33,18.93,এ,6
-38.27,-14.74,-27.55,-37.27,-37.81,-93.59,25.76,14.29,13.8,17.5,এ,6
-38.77,-14.15,-26.74,-36.68,-37.19,-94.17,26.04,14.69,14.7,18.59,এ,6
-39.74,-12.26,-24.86,-35.53,-36.81,-98.5,27.29,16.3,16.79,20.39,এ,6
-38.37,-14.6,-27.43,-37.43,-37.83,-94.52,26.41,15.09,14.92,18.39,এ,6
-37.35,-14.13,-26.65,-36.86,-37.82,-98.29,28.95,18.46,19.18,22.7,এ,6
-36.72,-14.85,-27.85,-38.45,-39.61,-95.73,27.24,16.49,17.28,20.26,এ,6
-36.8,-14.99,-28.05,-38.61,-39.68,-95.07,26.98,16.01,16.37,19.51,এ,6
-35.42,-15.75,-28.78,-39.73,-40.75,-96.26,27.87,17.34,18.18,21.15,এ,6
-35.74,-15.57,-28.75,-39.73,-40.78,-95.4,27.19,16.44,17.11,19.87,এ,6
-35.18,-16.17,-29.38,-40.26,-41.45,-94.57,27.3,16.63,17.38,20.17,এ,6
-34.61,-16.59,-29.85,-40.83,-42.11,-95.43,27.48,16.87,17.79,20.49,এ,6
-34.67,-16.39,-29.79,-40.96,-42.06,-95.22,27.52,17.03,17.81,20.58,এ,6
-36.69,-14.4,-27.14,-37.85,-39.55,-97.58,28.54,18.18,19.95,23.0,এ,6
-35.26,-16.23,-29.22,-39.83,-41.24,-94.54,27.4,16.63,17.53,20.5,এ,6
-35.02,-15.94,-28.98,-39.81,-41.25,-95.17,28.03,17.45,18.54,21.36,এ,6
-34.77,-16.73,-30.01,-41.02,-42.28,-94.63,27.38,16.84,17.55,20.48,এ,6
-34.26,-17.03,-30.56,-41.25,-42.49,-95.19,27.99,17.55,18.18,20.76,এ,6
-33.38,-17.2,-30.65,-42.06,-43.64,-95.53,28.55,18.29,19.29,21.47,এ,6
-33.52,-17.16,-29.99,-40.47,-41.06,-95.3,28.77,18.36,18.53,20.63,এ,6
-33.63,-17.03,-30.17,-41.25,-42.04,-95.88,28.28,18.06,18.79,21.58,এ,6
-33.42,-17.21,-30.62,-42.07,-42.96,-96.35,28.58,18.43,19.41,22.04,এ,6
-33.26,-17.9,-31.47,-42.45,-43.35,-94.38,27.52,17.12,17.69,20.27,এ,6
-33.48,-17.19,-30.36,-41.64,-42.69,-95.68,28.59,18.27,19.28,21.9,এ,6
-33.79,-17.16,-30.65,-41.6,-42.53,-94.94,27.88,17.45,17.96,20.62,এ,6
-34.73,-16.45,-29.71,-40.5,-41.39,-95.14,27.51,16.81,17.06,19.73,এ,6
-34.46,-16.58,-30.05,-41.15,-42.91,-95.56,27.75,17.04,17.83,21.02,এ,6
-33.91,-16.44,-29.41,-40.76,-41.96,-96.57,29.13,19.21,20.6,23.48,এ,6
-34.22,-17.17,-30.59,-41.33,-42.21,-94.75,28.06,17.52,17.75,20.68,এ,6
-35.18,-15.42,-28.78,-39.95,-41.4,-98.14,29.0,18.77,20.04,22.85,এ,6
-33.83,-16.45,-29.49,-40.46,-41.49,-96.76,29.04,19.09,20.38,23.32,এ,6
-33.67,-17.54,-31.07,-41.82,-42.71,-94.47,27.86,17.47,18.04,21.17,এ,6
-31.55,-15.19,-28.57,-39.82,-40.85,-97.76,28.58,17.86,18.43,21.54,এ,6
-30.47,-16.44,-29.77,-40.97,-42.38,-96.92,29.62,19.56,20.58,23.91,এ,6
-31.15,-16.49,-30.08,-41.43,-42.87,-95.52,28.54,18.16,19.19,22.5,এ,6
-31.76,-17.3,-31.39,-42.35,-43.49,-92.89,26.83,15.88,16.04,19.31,এ,6
-31.34,-17.43,-31.52,-42.62,-43.82,-93.62,27.58,16.94,17.59,20.35,এ,6
-33.26,-15.11,-28.54,-39.57,-41.28,-96.33,28.48,18.07,19.14,22.69,এ,6
-32.3,-15.27,-28.38,-39.04,-40.71,-98.68,30.76,21.05,22.69,25.93,এ,6
-33.93,-14.6,-27.77,-38.34,-39.41,-98.14,29.57,19.26,20.49,23.39,এ,6
-32.62,-14.39,-27.71,-38.86,-40.72,-100.47,31.16,21.6,23.73,27.1,এ,6
-31.15,-15.92,-29.13,-39.97,-41.5,-99.24,31.23,21.66,23.71,27.0,এ,6
-31.9,-15.64,-29.32,-40.49,-41.89,-99.35,30.37,20.39,22.13,25.17,এ,6
-31.91,-16.09,-29.51,-40.66,-42.08,-97.1,29.76,19.89,21.31,24.31,এ,6
-31.17,-16.14,-29.55,-41.0,-42.53,-98.45,30.52,20.75,22.45,25.44,এ,6
-31.53,-16.06,-29.92,-41.53,-43.14,-97.9,30.06,20.24,21.64,24.44,এ,6
-30.64,-17.31,-30.96,-42.36,-43.7,-96.26,29.59,19.61,20.98,23.61,এ,6
-30.61,-17.08,-30.97,-42.54,-44.33,-97.6,30.25,20.92,22.67,25.21,এ,6
-31.74,-16.98,-30.92,-42.27,-43.79,-96.59,29.34,19.65,21.22,23.95,এ,6
-31.26,-16.91,-30.58,-42.05,-43.5,-98.38,30.95,21.5,23.47,26.1,এ,6
-31.72,-16.67,-30.9,-42.29,-43.99,-98.07,30.08,20.56,22.28,24.6,এ,6
-30.7,-18.21,-32.21,-43.54,-45.01,-95.35,29.58,19.7,21.02,22.97,এ,6
-32.11,-16.95,-30.97,-42.16,-43.52,-96.85,29.51,19.58,21.1,23.45,এ,6
-33.59,-14.02,-27.31,-38.48,-40.53,-101.85,31.49,22.13,24.68,27.15,এ,6
-32.35,-15.75,-29.14,-40.48,-42.53,-98.82,30.7,21.04,23.17,25.56,এ,6
-32.02,-16.39,-29.82,-40.66,-42.0,-98.48,30.61,21.14,23.27,25.5,এ,6
-32.21,-16.55,-30.31,-41.35,-42.95,-97.59,29.86,20.1,21.79,23.95,এ,6
-31.78,-16.18,-30.01,-41.5,-43.26,-99.24,30.79,21.58,23.84,26.09,এ,6
-32.65,-16.59,-30.6,-42.11,-43.49,-96.6,28.76,18.84,20.26,22.5,এ,6
-31.74,-17.25,-31.3,-42.62,-44.06,-96.79,29.33,19.71,21.46,23.57,এ,6
-32.42,-16.29,-30.09,-41.3,-42.54,-97.44,29.7,19.98,21.63,23.95,এ,6
-31.33,-16.94,-30.18,-41.04,-42.39,-98.46,31.1,21.81,23.65,26.19,এ,6
-35.05,-14.74,-28.14,-39.35,-40.77,-97.57,28.46,18.21,19.39,21.66,এ,6
-32.81,-16.07,-29.76,-41.06,-42.62,-97.18,29.33,19.6,21.35,23.95,এ,6
-31.62,-16.77,-30.49,-41.9,-43.49,-99.15,30.62,21.37,24.08,26.19,এ,6
-31.44,-16.71,-29.78,-40.98,-42.49,-99.57,31.09,22.1,25.1,27.06,এ,6
-31.65,-16.56,-30.06,-41.31,-43.06,-97.98,29.88,20.58,23.16,25.21,এ,6
-32.12,-16.17,-29.83,-41.15,-43.15,-99.17,30.37,21.2,24.38,26.47,এ,6
-30.58,-17.76,-31.6,-42.82,-44.57,-99.32,31.3,22.58,25.55,27.16,এ,6
-31.52,-16.5,-29.88,-41.51,-43.77,-100.26,31.21,22.37,25.3,26.71,এ,6
-30.21,-17.83,-31.18,-42.35,-44.09,-99.83,32.3,23.74,26.69,28.14,এ,6
-32.18,-17.28,-30.75,-41.83,-43.37,-97.57,29.8,20.25,22.37,24.24,এ,6
-30.87,-17.97,-31.81,-43.2,-44.86,-97.25,30.12,20.88,22.88,24.28,এ,6
-31.18,-17.64,-31.66,-43.05,-44.72,-97.58,29.99,20.85,23.15,24.9,এ,6
-31.91,-16.93,-30.44,-41.65,-43.3,-97.47,29.84,20.43,22.8,24.33,এ,6
-32.67,-16.56,-30.05,-40.88,-42.85,-96.48,29.11,19.59,22.17,24.51,এ,6
-48.03,-7.8,-22.46,-30.37,-27.91,-96.22,28.79,19.31,29.47,30.21,এ,6
-39.4,-9.94,-24.54,-32.48,-29.37,-94.86,27.35,18.47,27.67,28.16,এ,6
-37.64,-9.91,-24.83,-33.42,-30.24,-95.13,28.06,19.53,28.06,28.22,এ,6
-37.08,-10.2,-25.49,-34.38,-31.11,-96.55,29.32,20.82,29.26,29.27,এ,6
-37.72,-9.97,-25.07,-34.19,-30.87,-96.92,28.67,19.72,27.75,27.84,এ,6
-38.17,-9.84,-25.09,-34.33,-30.9,-96.19,28.4,19.49,27.31,27.06,এ,6
-38.08,-10.33,-25.53,-35.2,-31.53,-96.81,29.2,20.36,28.55,28.16,এ,6
-38.29,-10.28,-25.41,-34.82,-31.51,-96.93,29.75,20.97,28.98,28.84,এ,6
-37.96,-10.62,-25.87,-35.31,-32.02,-96.35,29.32,20.6,28.17,27.99,এ,6
-31.48,-9.85,-24.63,-34.07,-30.19,-94.99,25.72,15.98,20.9,21.43,এ,6
-29.46,-8.77,-23.99,-33.59,-29.73,-97.5,25.84,16.44,22.4,23.03,এ,6
-28.13,-10.15,-24.86,-33.86,-29.62,-97.97,26.97,17.22,22.6,23.99,এ,6
