p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label,label_encoded
-63.58,12.19,6.48,4.71,4.76,-26.44,21.56,18.1,7.49,15.11,ক,10
-61.25,13.88,9.73,10.37,10.91,-12.77,17.34,12.93,2.23,10.57,ক,10
-63.43,13.09,6.64,4.07,3.26,-13.41,19.44,15.83,5.33,12.56,ক,10
-59.11,10.34,4.85,3.89,3.67,-17.03,19.02,14.69,4.31,10.61,ক,10
-60.46,11.02,4.43,2.26,1.24,-11.89,18.38,14.15,6.18,11.65,ক,10
-58.01,10.42,3.2,-1.01,-3.63,-5.52,20.6,16.66,7.72,12.4,ক,10
-65.6,12.44,5.1,1.07,-0.54,-16.86,20.58,17.23,8.27,14.3,ক,10
-64.81,13.68,7.81,6.24,3.27,-18.57,19.03,14.37,3.41,10.25,ক,10
-63.48,12.7,6.7,5.03,2.58,-18.22,19.69,15.22,5.01,10.76,ক,10
-55.89,16.37,10.98,10.53,7.1,0.9,15.86,11.72,2.34,10.43,ক,10
-56.03,16.73,11.86,11.38,7.5,3.69,16.62,12.33,3.41,11.16,ক,10
-53.51,16.53,10.97,10.31,6.38,4.46,15.51,11.53,2.59,10.39,ক,10
-53.8,16.51,11.07,10.2,6.45,6.62,15.88,11.77,3.45,11.03,ক,10
-56.83,16.5,10.48,9.1,4.87,3.17,17.0,13.4,5.24,12.53,ক,10
-54.64,14.27,8.43,6.86,2.66,1.53,16.94,13.21,4.71,11.27,ক,10
-55.26,13.63,7.58,5.9,1.83,1.52,17.45,13.85,5.65,12.11,ক,10
-54.71,14.24,8.48,6.78,2.44,2.85,17.52,13.89,6.0,12.41,ক,10
-55.04,14.2,8.58,7.25,2.98,3.27,17.13,13.4,5.25,11.69,ক,10
-54.45,14.2,8.82,7.51,2.9,2.54,17.11,13.42,5.63,12.34,ক,10
-55.39,14.33,8.37,6.75,2.27,3.39,16.95,13.36,5.5,11.96,ক,10
-59.83,14.71,11.23,8.55,4.68,6.65,16.39,12.01,4.24,12.37,ক,10
-61.31,15.63,12.61,9.75,5.97,6.65,17.85,14.21,7.09,14.91,ক,10
-61.16,16.8,13.82,10.51,5.83,9.36,17.0,13.23,6.18,13.96,ক,10
-61.27,15.85,12.62,9.25,4.48,8.66,18.92,15.8,9.44,17.24,ক,10
-58.76,15.19,11.96,8.61,4.07,10.0,17.88,14.19,7.51,14.49,ক,10
-60.55,15.36,12.35,8.23,3.2,11.9,19.18,16.01,9.77,16.71,ক,10
-56.57,11.34,7.52,3.15,-2.17,3.3,19.41,15.99,9.09,15.55,ক,10
-58.0,15.67,12.47,8.69,3.88,13.52,17.55,14.44,7.78,14.88,ক,10
-58.86,15.84,12.64,8.9,4.43,13.14,17.43,14.18,7.65,14.76,ক,10
-57.65,15.02,11.37,7.4,2.86,13.15,16.77,13.44,7.0,13.99,ক,10
-58.4,14.4,10.35,5.91,1.22,11.79,18.9,16.14,10.64,16.55,ক,10
-58.94,15.03,11.33,7.09,2.39,13.63,18.21,15.42,9.86,16.17,ক,10
-54.98,14.04,10.37,6.03,1.71,15.57,18.88,16.09,10.5,16.7,ক,10
-54.25,11.81,7.44,2.73,-1.48,11.11,19.45,16.45,10.43,15.66,ক,10
-53.32,11.97,7.83,3.09,-1.24,12.65,18.73,15.65,9.68,14.94,ক,10
-53.82,13.18,9.4,5.36,0.94,15.96,18.66,15.61,9.71,15.18,ক,10
-61.99,13.35,9.25,4.78,1.02,2.73,18.02,15.48,9.54,16.26,ক,10
-61.08,13.28,8.54,4.03,-0.31,5.55,17.49,14.69,8.97,15.54,ক,10
-61.8,12.59,7.77,2.03,-3.01,3.0,18.54,16.28,10.57,16.65,ক,10
-59.86,11.3,6.35,1.1,-3.67,-1.73,19.29,17.0,11.26,16.94,ক,10
-60.76,13.74,9.14,3.7,-1.62,10.35,18.62,16.07,10.62,16.26,ক,10
-62.14,13.31,8.82,3.52,-1.59,7.59,19.94,17.72,12.56,17.72,ক,10
-58.29,12.48,7.67,2.15,-2.63,8.93,19.32,17.01,11.99,17.4,ক,10
-59.43,14.76,10.32,5.0,0.34,16.83,18.96,16.66,12.21,17.3,ক,10
-69.37,21.34,16.88,14.11,8.96,-28.56,22.42,17.79,11.44,15.06,ক,10
-68.81,20.92,16.93,13.72,8.3,-18.1,21.7,17.88,11.67,15.79,ক,10
-68.88,17.44,11.98,7.67,3.14,-11.42,20.56,17.33,10.05,15.75,ক,10
-67.13,17.71,12.54,8.57,5.37,4.01,20.48,18.11,9.97,17.39,ক,10
-53.7,15.84,11.35,8.06,4.9,16.53,18.0,14.84,6.58,14.81,ক,10
-58.24,17.52,11.72,7.63,4.03,18.65,19.46,17.1,10.11,17.71,ক,10
-56.54,18.5,13.26,9.1,5.06,22.57,18.76,16.41,9.56,17.11,ক,10
-60.05,18.2,12.9,8.55,4.39,17.73,19.93,17.48,10.83,18.06,ক,10
-60.13,18.56,13.55,9.08,4.54,18.54,20.18,17.88,11.18,18.61,ক,10
-57.79,16.23,10.76,6.73,2.82,15.07,20.0,17.47,10.69,17.93,ক,10
-59.28,17.07,11.57,7.05,2.4,16.55,19.96,17.26,10.76,17.94,ক,10
-55.97,17.37,12.09,8.03,4.14,20.98,19.55,17.24,10.72,18.06,ক,10
-57.56,15.0,9.28,4.84,0.94,17.12,20.46,18.17,11.42,18.14,ক,10
-52.2,15.49,9.98,5.97,2.05,20.6,19.81,17.65,11.14,17.82,ক,10
-52.93,15.23,9.94,6.32,2.64,21.16,19.57,17.19,10.66,17.11,ক,10
-54.72,16.37,11.62,7.82,3.48,23.35,20.76,18.54,12.32,18.75,ক,10
-53.5,14.91,9.42,4.61,-0.16,19.86,20.21,17.63,11.74,18.4,ক,10
-54.19,15.54,9.51,4.68,0.07,21.95,20.87,18.59,12.29,18.73,ক,10
